rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,sportAbbrev
5,min,23,142,696070,Kendry Rojas,19,1.55,69.0,75,42,36,32,90,7,207,312,,4.70,0,0,0,2,5,ALL (5)
5,stl,25,138,687273,Quinn Mathews,24,1.55,99.0,79,44,41,74,115,6,297,440,,3.73,0,0,0,4,7,ALL (3)
5,cws,22,145,696146,Hagen Smith,20,1.30,75.2,42,31,30,56,108,5,227,319,,3.57,0,0,0,3,3,AA
5,nym,25,121,687075,Brandon Sproat,30,1.24,141.2,115,73,68,60,130,9,425,596,,4.32,0,0,0,8,8,ALL (2)
5,mil,23,158,701656,Logan Henderson,21,1.08,103.0,79,37,36,32,120,12,309,411,,3.15,0,0,0,13,4,ALL (2)
5,cin,23,113,695076,Rhett Lowder,5,1.93,9.1,15,12,11,3,13,2,28,49,,10.61,0,0,0,0,3,ALL (3)
6,kc,19,118,815789,David Shields,19,1.02,75.2,62,26,20,15,86,4,227,302,,2.38,0,0,0,3,2,ALL (2)
6,ari,25,109,684442,Kohl Drake,20,1.25,89.1,76,46,42,36,106,10,268,376,,4.23,0,0,0,6,6,ALL (3)
6,nyy,23,147,696292,Ben Hess,22,1.07,103.1,65,43,37,46,139,3,310,421,,3.22,0,0,0,7,4,ALL (2)
6,bal,18,110,821757,Esteban Mejia,14,1.29,52.0,36,25,17,31,67,0,156,227,,2.94,0,0,0,1,4,ALL (2)
6,cle,23,114,701590,Khal Stephen,22,0.99,103.0,82,32,29,20,110,5,309,406,,2.53,1,0,0,9,2,ALL (4)
6,atl,21,144,803833,Garrett Baumann,23,1.24,113.2,110,48,43,31,108,10,341,481,,3.40,0,0,0,6,9,A+
6,la,21,119,701328,Jackson Ferris,26,1.46,126.0,118,59,54,66,135,9,378,557,,3.86,0,0,0,10,7,AA
6,tor,22,141,804948,Gage Stanifer,27,1.17,110.0,71,38,35,58,161,4,330,453,,2.86,4,0,0,8,6,ALL (3)
6,sd,22,135,699134,Bradgley Rodriguez,40,1.06,44.1,28,15,14,19,47,1,133,181,,2.84,5,5,3,7,0,ALL (3)
6,tb,21,139,820901,Anderson Brito,12,1.30,49.1,36,20,18,28,65,1,148,209,,3.28,0,0,0,0,1,A+
7,bos,25,111,687562,Jake Bennett,19,1.08,75.1,62,20,19,19,64,3,226,297,,2.27,0,0,0,2,5,ALL (3)
7,tex,23,140,699314,David Davalillo,23,0.93,107.0,71,30,29,28,126,6,321,426,,2.44,0,0,0,6,4,ALL (2)
7,tb,21,139,702650,Michael Forret,19,0.82,74.0,40,17,13,21,91,3,222,282,,1.58,0,0,0,2,2,ALL (2)
7,cin,22,113,695534,Chase Petty,29,1.71,118.2,137,105,93,66,109,20,356,560,,7.05,0,0,0,6,16,ALL (2)
7,min,20,142,815598,Dasan Hill,19,1.35,62.0,44,26,22,40,83,2,186,267,,3.19,0,0,0,0,4,ALL (2)
7,kc,22,118,695667,Ben Kudrna,24,1.44,105.1,102,68,62,50,106,10,316,463,,5.30,0,0,0,2,8,ALL (2)
7,cws,22,145,701780,Tanner McDougal,28,1.33,113.1,102,49,41,49,136,7,340,481,,3.26,0,0,0,3,5,ALL (2)
7,sea,22,136,701388,Jurrangelo Cijntje,26,1.22,108.1,81,50,48,51,120,15,325,459,,3.99,0,0,0,5,7,ALL (2)
7,stl,22,138,700251,Brandon Clarke,14,1.16,38.0,17,21,17,27,60,0,114,174,,4.03,0,0,0,0,3,ALL (2)
