rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,totalBases,avg,position,sportAbbrev
27,bal,22,,Ethan Anderson,803175,310,35,77,14,1,4,.338,.677,.339,45,43,64,15,3,136,105,.248,C,ALL (2)
27,pit,22,,Jared Jones,702262,50,8,8,1,0,4,.276,.696,.420,8,6,26,0,0,20,21,.160,1B,A+
27,nyy,20,,Brando Mayea,806963,74,19,22,4,1,3,.373,.873,.500,9,6,19,4,3,27,37,.297,OF,ROK
27,cle,21,,Luke Hill,702619,49,7,17,3,1,1,.459,.969,.510,7,11,11,7,4,21,25,.347,3B,A
28,bos,17,,Harold Rivas,829093,159,41,41,6,4,2,.393,.777,.384,20,35,35,18,8,82,61,.258,OF,ROK
28,col,18,,Ashly Andujar,815903,191,32,61,7,0,0,.370,.726,.356,23,15,31,7,2,90,68,.319,SS,ROK
28,bal,22,,Griff O'Ferrall,803172,447,61,102,16,3,4,.322,.626,.304,38,59,77,44,8,151,136,.228,SS,ALL (2)
28,nyy,19,,Francisco Vilorio,815910,183,39,51,10,3,0,.387,.753,.366,19,30,54,8,5,81,67,.279,OF,ROK
28,tex,20,,Maxton Martin,807722,445,81,115,27,7,14,.347,.792,.445,67,52,115,15,0,211,198,.258,OF,ALL (2)
28,cle,21,,Nolan Schubart,702278,51,10,13,2,0,3,.424,.895,.471,7,15,24,1,0,32,24,.255,OF,A
28,phi,23,,Dylan Campbell,694749,452,63,97,23,2,14,.298,.665,.367,60,51,110,33,11,219,166,.215,CF,ALL (2)
28,hou,17,,Anthony Millan,829860,136,25,38,5,4,2,.407,.826,.419,26,26,34,13,1,65,57,.279,OF,ALL (2)
28,tb,24,,Homer Bush Jr.,683344,472,69,142,12,8,0,.375,.735,.360,45,48,98,57,12,164,170,.301,CF,AA
28,min,20,,Enrique Jimenez,806992,246,42,63,12,3,12,.371,.847,.476,50,46,66,5,1,116,117,.256,C,ALL (2)
28,cws,19,,Marcelo Alcala,808708,146,33,34,7,4,7,.325,.804,.479,19,14,63,14,1,65,70,.233,OF,ROK
28,chc,20,,Ty Southisene,807257,318,69,78,6,2,0,.388,.665,.277,36,63,59,41,8,129,88,.245,SS,ALL (2)
28,atl,25,,David McCabe,678173,469,62,129,27,1,14,.367,.793,.426,71,71,121,3,1,183,200,.275,3B,ALL (2)
28,sea,25,,Victor Labrada,700032,430,80,121,24,4,7,.403,.808,.405,52,79,90,44,11,187,174,.281,CF,ALL (2)
28,sf,21,,Walker Martin,806152,406,67,95,19,3,12,.353,.737,.384,70,69,137,13,4,226,156,.234,SS,A
28,nym,19,,Edward Lantigua,815928,153,23,44,6,1,3,.433,.832,.399,27,33,29,13,10,55,61,.288,OF,ROK
28,was,18,,Marconi German,829699,152,37,43,9,1,8,.479,.992,.513,30,43,42,33,6,57,78,.283,SS,ROK
29,tb,22,,Jadher Areinamo,699130,508,69,145,32,2,15,.344,.789,.445,70,46,67,21,8,199,226,.285,2B,ALL (2)
29,bal,17,,José Peña,829072,167,28,40,11,0,2,.356,.697,.341,23,30,42,14,6,96,57,.240,SS,ROK
29,chc,20,,Eli Lovich,815654,271,33,63,7,3,4,.307,.632,.325,36,27,88,18,4,112,88,.232,OF,ALL (2)
29,was,25,,Andrew Pinckney,687605,450,77,121,9,2,20,.348,.779,.431,66,44,148,34,5,217,194,.269,OF,AAA
29,pit,20,,Axiel Plaz,800208,237,32,56,12,0,10,.327,.741,.414,46,26,53,1,0,107,98,.236,C,ALL (2)
29,mil,22,,Blake Burke,695501,490,64,143,27,2,16,.379,.832,.453,82,65,135,15,5,201,222,.292,1B,ALL (2)
29,cws,21,,Samuel Zavala,694214,409,65,104,17,2,9,.360,.732,.372,51,65,104,18,8,162,152,.254,CF,A+
29,kc,22,,Austin Charles,800051,220,24,45,10,2,2,.260,.555,.295,20,19,65,11,5,95,65,.205,SS,ALL (2)
29,sf,22,,Lorenzo Meola,823768,66,7,18,4,0,3,.314,.784,.470,7,4,17,3,1,27,31,.273,SS,A
29,nym,20,,Trey Snyder,815551,431,58,95,12,1,5,.336,.624,.288,48,72,96,41,8,198,124,.220,SS,A
29,min,23,,Kala'i Rosario,693850,497,92,127,30,5,25,.358,.845,.487,83,73,159,32,7,252,242,.256,OF,AA
29,nyy,18,,Stiven Marinez,829501,160,37,44,7,3,1,.424,.799,.375,17,41,46,22,6,63,60,.275,SS,ROK
29,ari,19,,Ivan Luciano,813930,145,18,40,7,1,2,.389,.768,.379,21,28,36,1,0,84,55,.276,C,ALL (2)
29,mia,23,,Matthew Etzel,803033,314,47,78,11,2,7,.363,.726,.363,49,59,93,27,9,135,114,.248,LF,ALL (4)
30,sea,25,,Rhylan Thomas,689041,555,107,179,25,1,7,.377,.786,.409,80,47,32,35,8,256,227,.323,LF,ALL (2)
30,hou,21,,Nick Monistere,823809,101,10,17,2,0,2,.254,.502,.248,16,9,28,5,1,60,25,.168,A
30,pit,20,,Tony Blanco Jr.,703156,112,11,29,3,0,8,.359,.859,.500,23,18,46,0,0,46,56,.259,OF,ALL (2)
30,sd,22,,Braedon Karpathios,701682,446,63,111,22,3,15,.357,.770,.413,65,73,146,9,5,210,184,.249,OF,ALL (2)
30,stl,17,,Kenly Hunter,829077,140,41,44,6,3,0,.442,.842,.400,15,24,20,25,2,58,56,.314,OF,ROK
30,cin,20,,Carlos Sanchez,800176,415,62,115,20,6,8,.379,.791,.412,62,67,121,20,14,188,171,.277,3B,ALL (2)
30,tb,19,,Nathan Flewelling,807083,352,48,81,17,2,6,.393,.734,.341,52,94,127,9,3,164,120,.230,C,ALL (2)
30,bal,22,,Creed Willems,695735,379,41,96,21,1,16,.338,.779,.441,59,38,83,1,2,175,167,.253,C,AA
30,mil,19,,José Anderson,821262,342,45,71,17,5,11,.293,.676,.383,42,35,110,10,4,161,131,.208,OF,ALL (2)
30,atl,19,,Owen Carey,826928,469,63,121,25,2,4,.330,.675,.345,63,38,82,17,10,228,162,.258,OF,A
30,min,21,,Danny De Andrade,694185,437,55,100,26,8,9,.317,.704,.387,58,43,115,15,6,205,169,.229,SS,A+
30,la,21,,Logan Wagner,702488,440,82,95,23,2,15,.345,.725,.380,76,78,140,18,3,247,167,.216,SS,A+
30,sf,22,,Cam Maldonado,809686,59,6,14,6,0,0,.352,.691,.339,10,11,18,5,0,31,20,.237,OF,A
30,oak,17,,Darwing Ozuna,829048,90,12,19,3,0,2,.301,.612,.311,11,9,25,2,1,47,28,.211,OF,ROK
