rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,totalBases,avg,position,sportAbbrev
4,min,22,,Emmanuel Rodriguez,691181,208,43,56,9,1,6,.431,.840,.409,31,55,85,10,3,103,85,.269,CF,ALL (3)
5,pit,19,,Edward Florentino,821273,290,60,84,23,2,16,.400,.948,.548,59,49,78,35,6,143,159,.290,OF,ALL (2)
5,mia,20,,Starlyn Caba,806965,194,28,43,6,1,1,.335,.613,.278,21,34,34,14,6,92,54,.222,SS,A
5,ana,18,,Joswa Lugo,815915,129,19,35,7,0,2,.375,.747,.372,23,19,40,1,4,58,48,.271,SS,ROK
5,sf,23,,Bo Davidson,815589,449,76,126,16,7,18,.376,.844,.468,70,68,119,19,6,172,210,.281,OF,ALL (2)
5,bos,19,,Justin Gonzales,821100,359,50,101,23,2,4,.363,.753,.390,32,39,65,12,10,122,140,.281,OF,ALL (3)
5,phi,21,,Aroon Escobar,800169,460,82,124,13,4,15,.361,.774,.413,62,56,98,24,5,176,190,.270,3B,ALL (3)
5,bal,21,,Wehiwa Aloy,814450,80,14,23,9,1,2,.356,.856,.500,14,8,25,6,2,29,40,.288,SS,A
5,kc,19,,Yandel Ricardo,815902,299,50,79,13,7,2,.346,.721,.375,35,31,76,31,8,115,112,.264,SS,ALL (2)
5,oak,22,,Henry Bolte,703607,415,66,118,20,6,9,.385,.812,.427,56,57,141,44,2,197,177,.284,OF,ALL (2)
5,cle,20,,Jaison Chourio,702693,308,43,73,7,1,2,.379,.665,.286,26,70,87,10,7,140,88,.237,OF,ALL (2)
5,det,22,,Thayron Liranzo,699073,339,49,70,16,0,11,.308,.659,.351,45,47,125,0,0,181,119,.206,C,AA
5,chc,23,,Kevin Alcántara,682634,390,57,105,26,0,17,.351,.818,.467,70,49,132,11,4,189,182,.269,RF,ALL (2)
5,la,22,,Mike Sirota,701527,216,48,72,16,3,13,.452,1.068,.616,54,48,59,5,5,101,133,.333,CF,ALL (2)
5,sea,21,,Michael Arroyo,703197,450,78,118,24,1,17,.401,.834,.433,54,69,104,12,5,177,195,.262,SS,ALL (2)
5,hou,23,,Joseph Sullivan,813896,372,68,82,13,2,17,.395,.798,.403,49,88,133,42,9,152,150,.220,OF,ALL (2)
5,ari,23,,Tommy Troy,694371,499,79,144,28,4,15,.382,.833,.451,66,67,98,24,5,215,225,.289,SS,ALL (2)
6,mia,17,,Andrew Salas,829035,371,56,69,9,2,3,.319,.564,.245,21,72,110,39,10,191,91,.186,SS,A
6,bos,21,,Mikey Romero,702540,445,61,109,33,4,17,.300,.752,.452,76,34,132,5,3,173,201,.245,SS,ALL (2)
