yahoo_team_id,team_name,manager_name,fbp_abbr,player_id,player_key,name,first_name,last_name,position,eligible_positions,team,team_full,status,ownership_type,owned_by,percent_owned
9,Andromedans,Zakkeroni,DRO,9877,458.p.9877,Aaron Judge,Aaron,Judge,CF,,NYY,New York Yankees,,team,458.l.15505.t.9,99
1,Whiz Kids,Kyle,WIZ,9879,458.p.9879,Luis Severino,Luis,Severino,SP,,ATH, Athletics,,team,458.l.15505.t.1,26
7,Law Abiding Citizen,Mike,LAW ,9882,458.p.9882,Aaron Nola,Aaron,Nola,SP,,PHI,Philadelphia Phillies,,team,458.l.15505.t.7,78
1,Whiz Kids,Kyle,WIZ,9893,458.p.9893,Willy Adames,Willy,Adames,SS,,SF,San Francisco Giants,,team,458.l.15505.t.1,90
11,The Bluke Blokes,Blake,TBB,9896,458.p.9896,Jeff Hoffman,Jeff,Hoffman,RP,,TOR,Toronto Blue Jays,,team,458.l.15505.t.11,91
11,The Bluke Blokes,Blake,TBB,9900,458.p.9900,Yoán Moncada,Yoán,Moncada,3B,,LAA,Los Angeles Angels,NA,team,458.l.15505.t.11,1
9,Andromedans,Zakkeroni,DRO,9902,458.p.9902,Raisel Iglesias,Raisel,Iglesias,RP,,ATL,Atlanta Braves,,team,458.l.15505.t.9,93
2,Btwn2Jackies,Lauren,B2J,10011,458.p.10011,Matthew Boyd,Matthew,Boyd,SP,,CHC,Chicago Cubs,,team,458.l.15505.t.2,69
10,Rick Vaughn,Richard,RV,10036,458.p.10036,Ketel Marte,Ketel,Marte,2B,,AZ,Arizona Diamondbacks,,team,458.l.15505.t.10,98
11,The Bluke Blokes,Blake,TBB,10056,458.p.10056,Trea Turner,Trea,Turner,SS,,PHI,Philadelphia Phillies,,team,458.l.15505.t.11,96
11,The Bluke Blokes,Blake,TBB,10098,458.p.10098,Adrian Houser,Adrian,Houser,"SP,RP",,SF,San Francisco Giants,,team,458.l.15505.t.11,26
6,La Flama Blanca,Alex,LFB,10131,458.p.10131,Josh Hader,Josh,Hader,RP,,HOU,Houston Astros,DTD,team,458.l.15505.t.6,78
7,Law Abiding Citizen,Mike,LAW ,10148,458.p.10148,Blake Snell,Blake,Snell,SP,,LAD,Los Angeles Dodgers,,team,458.l.15505.t.7,91
5,Jepordizers,John Mobley,JEP,10152,458.p.10152,Reynaldo López,Reynaldo,López,SP,,ATL,Atlanta Braves,DTD,team,458.l.15505.t.5,18
8,not much of a donkey,ben,SAD,10166,458.p.10166,Willson Contreras,Willson,Contreras,"C,1B",,BOS,Boston Red Sox,DTD,team,458.l.15505.t.8,75
