change_type,yahoo_id,name,team,position,player_type,old_manager,new_manager
removed,9098,Yasmani Grandal,PIT,"C,1B",MLB,Andromedans,
removed,9103,Kolten Wong,BAL,2B,MLB,Weekend Warriors,
removed,9104,Jonathan Schoop,DET,"1B,2B",MLB,HURL,
removed,9105,Nolan Arenado,STL,3B,MLB,PLAY,
removed,9108,Nick Castellanos,PHI,OF,MLB,Whiz Kids,
removed,9110,Miguel Sanó,LAA,"1B,3B",MLB,GANG,
removed,9111,Manny Machado,SD,"3B,SS",MLB,HURL,Law-Abiding Citizens
added,9111,Manny Machado,SD,"3B,SS",MLB,HURL,Law-Abiding Citizens
removed,9116,Francisco Lindor,NYM,SS,MLB,BATI,Andromedans
added,9116,Francisco Lindor,NYM,SS,MLB,BATI,Andromedans
removed,9118,Starling Marte,NYM,CF,MLB,Weekend Warriors,
removed,9121,Gerrit Cole,NYY,P,MLB,Andromedans,Rick Vaughn
added,9121,Gerrit Cole,NYY,P,MLB,Andromedans,Rick Vaughn
removed,9122,Trevor Bauer,LAD,P,MLB,JESÚ,
removed,9124,Zack Wheeler,PHI,P,MLB,Whiz Kids,Btwn2Jackies
added,9124,Zack Wheeler,PHI,P,MLB,Whiz Kids,Btwn2Jackies
removed,9217,Dallas Keuchel,MIL,P,MLB,PINS,
removed,9228,Jorge Soler,LAA,OF,MLB,Weekend Warriors,
removed,9236,Aaron Loup,LAA,P,MLB,ANGE,
removed,9247,Jean Segura,MIA,"2B,3B,SS",MLB,CASC,
removed,9281,Avisaíl García,MIA,CF,MLB,PINS,
removed,9310,Jake Odorizzi,TB,P,MLB,PINS,
removed,9317,Hyun Jin Ryu,TOR,P,MLB,GANG,
removed,9319,Xander Bogaerts,SD,SS,MLB,HURL,Law-Abiding Citizens
added,9319,Xander Bogaerts,SD,SS,MLB,HURL,Law-Abiding Citizens
removed,9320,Christian Yelich,MIL,OF,MLB,Andromedans,Weekend Warriors
added,9320,Christian Yelich,MIL,OF,MLB,Andromedans,Weekend Warriors
removed,9333,Matt Barnes,WSH,P,MLB,PINS,
removed,9334,Kevin Gausman,TOR,P,MLB,CASC,Btwn2Jackies
