FBP_Team,manager,name,team,position,player_type,contract_type,status,years_simple,yahoo_id,upid
LFB,La Flama Blanca,Druw Jones,AZ,OF,Farm,Farm Contract,[7] P,P,,3883
LFB,La Flama Blanca,Elijah Green,WSH,OF,Farm,Purchased Contract,[7] P,P,,3893
LFB,La Flama Blanca,Drew Gilbert,NYM,OF,Farm,Purchased Contract,[7] P,P,,3898
LFB,La Flama Blanca,Jace Jung,DET,3B,Farm,Purchased Contract,[7] P,P,,3902
LFB,La Flama Blanca,Joe Ryan,MIN,SP,MLB,Keeper Contract,[3] VC1,VC 1,,4016
LFB,La Flama Blanca,Andrés Muñoz,SEA,RP,MLB,Keeper Contract,[4] TC2,TC 2,,4018
LFB,La Flama Blanca,Hunter Greene,CIN,SP,MLB,Keeper Contract,[3] VC1,VC 1,,4022
LAW,Law-Abiding Citizens,Jhoan Duran,MIN,RP,MLB,Keeper Contract,[4] TC2,TC 2,,4023
LFB,La Flama Blanca,Alexis Díaz,CIN,RP,MLB,Keeper Contract,[5] TC1,TC 1,,4032
LFB,La Flama Blanca,Santiago Suarez,TB,RHP,Farm,Farm Contract,[7] P,P,,4570
LFB,La Flama Blanca,Tim Tawa,ARI,1B,Farm,Purchased Contract,[7] P,P,,4808
LFB,La Flama Blanca,Edgardo Henriquez,LAD,RHP,Farm,Purchased Contract,[7] P,P,,6075
LFB,La Flama Blanca,Alfredo Duno,CIN,C,Farm,Farm Contract,[7] P,P,,6140
LFB,La Flama Blanca,Hayden Birdsong,SF,RHP,MLB,Keeper Contract,[6] TCR,TC R,,6556
LFB,La Flama Blanca,Noble Meyer,MIA,RHP,Farm,Purchased Contract,[7] P,P,,6571
LFB,La Flama Blanca,Brayden Taylor,TB,3B,Farm,Purchased Contract,[7] P,P,,6609
LFB,La Flama Blanca,Starlyn Caba,MIA,SS,Farm,Purchased Contract,[7] P,P,,6616
LFB,La Flama Blanca,Ralphy Velazquez,CLE,1B,Farm,Farm Contract,[7] P,P,,6617
LFB,La Flama Blanca,Aroon Escobar,PHI,2B,Farm,Purchased Contract,[7] P,P,,6665
LAW,Law-Abiding Citizens,Luis Mey,CIN,RHP,Farm,Purchased Contract,[7] P,P,,6963
LFB,La Flama Blanca,Jose Perdomo,ATL,SS,Farm,Development Cont.,[7] P,P,,7177
LFB,La Flama Blanca,Cam Caminiti,ATL,LHP,Farm,Farm Contract,[7] P,P,,7347
LFB,La Flama Blanca,Konnor Griffin,PIT,SS,Farm,Purchased Contract,[7] P,P,,7612
LFB,La Flama Blanca,Josuar Gonzalez,SF,SS,Farm,Purchased Contract,[7] P,P,,7746
LFB,La Flama Blanca,Shotaro Morii,ATH,SS,Farm,Purchased Contract,[7] P,P,,7776
LFB,La Flama Blanca,Elian Peña,NYM,3B,Farm,Farm Contract,[7] P,P,,7785
LAW,Law-Abiding Citizens,Freddie Freeman,LAD,1B,MLB,Keeper Contract,[3] VC1,VC 1,8658,1877
LAW,Law-Abiding Citizens,Blake Snell,LAD,P,MLB,Keeper Contract,[3] VC1,VC 1,10148,1887
WIZ,Whiz Kids,Aroldis Chapman,BOS,P,MLB,Keeper Contract,[5] TC1,TC 1,8616,1902
LAW,Law-Abiding Citizens,Jose Altuve,HOU,2B,MLB,Keeper Contract,[3] VC1,VC 1,8996,1907
LFB,La Flama Blanca,Josh Hader,HOU,P,MLB,Keeper Contract,[3] VC1,VC 1,10131,1908
LAW,Law-Abiding Citizens,Dylan Cease,TOR,P,MLB,Keeper Contract,[3] VC1,VC 1,10438,1943
LAW,Law-Abiding Citizens,Manny Machado,SD,"3B,SS",MLB,Keeper Contract,[3] VC1,VC 1,9111,1963
SAD,not much of a donkey,Robbie Ray,SF,P,MLB,Keeper Contract,[5] TC1,TC 1,9691,1973
LAW,Law-Abiding Citizens,Emmanuel Clase,CLE,P,MLB,Keeper Contract,[4] TC2,TC 2,11625,2448
LAW,Law-Abiding Citizens,Corbin Carroll,AZ,CF,MLB,Keeper Contract,[4] TC2,TC 2,,3436
LAW,Law-Abiding Citizens,Justin Steele,CHC,SP,MLB,Keeper Contract,[3] VC1,VC 1,,2801
LAW,Law-Abiding Citizens,Michael King,SD,SP,MLB,Keeper Contract,[3] VC1,VC 1,,2974
LAW,Law-Abiding Citizens,Michael Wacha,KC,SP,MLB,,[5] TC1,TC 1,,2984
LAW,Law-Abiding Citizens,Sean Murphy,ATL,C,MLB,Keeper Contract,[5] TC1,TC 1,,3213
LAW,Law-Abiding Citizens,Tanner Houck,BOS,SP,MLB,Keeper Contract,[5] TC1,TC 1,,3261
LAW,Law-Abiding Citizens,Gabriel Moreno,AZ,C,MLB,Keeper Contract,[5] TC1,TC 1,,3439
LAW,Law-Abiding Citizens,Daniel Espino,CLE,RHP,Farm,Purchased Contract,[7] P,P,,3444
LAW,Law-Abiding Citizens,Jack Leiter,TEX,RHP,MLB,Keeper Contract,[6] TCR,TC R,,3449
LAW,Law-Abiding Citizens,Noelvi Marte,CIN,3B,MLB,Keeper Contract,[5] TC1,TC 1,,3451
LAW,Law-Abiding Citizens,Brandon Pfaadt,AZ,SP,MLB,Keeper Contract,[5] TC1,TC 1,,3532
LAW,Law-Abiding Citizens,Angel Martínez,CLE,2B,MLB,Keeper Contract,[5] TC1,TC 1,,3615
LAW,Law-Abiding Citizens,Colt Keith,DET,2B,MLB,Keeper Contract,[5] TC1,TC 1,,3640
LAW,Law-Abiding Citizens,Roman Anthony,BOS,OF,Farm,Purchased Contract,[7] P,P,,3852
LAW,Law-Abiding Citizens,Jackson Holliday,BAL,SS,MLB,Keeper Contract,[6] TCR,TC R,,3884
LAW,Law-Abiding Citizens,Brooks Lee,MIN,SS,MLB,Keeper Contract,[6] TCR,TC R,,3885
LAW,Law-Abiding Citizens,Dylan Lesko,TB,RHP,Farm,Purchased Contract,[7] P,P,,3889
LAW,Law-Abiding Citizens,Cade Horton,CHC,RHP,Farm,Purchased Contract,[7] P,P,,3894
LFB,La Flama Blanca,Nick Lodolo,CIN,SP,MLB,Keeper Contract,[5] TC1,TC 1,,4019
LAW,Law-Abiding Citizens,Edwin Uceta,TB,RP,MLB,Keeper Contract,[5] TC1,TC 1,,4174
LAW,Law-Abiding Citizens,Bobby Witt,KC,SS,MLB,Keeper Contract,[3] VC1,VC 1,,4295
LAW,Law-Abiding Citizens,Bryson Stott,PHI,"2B, SS",MLB,Keeper Contract,[3] VC1,VC 1,,4306
LAW,Law-Abiding Citizens,Maikel Garcia,KC,"2B, 3B",MLB,Keeper Contract,[5] TC1,TC 1,,4361
LAW,Law-Abiding Citizens,David Festa,MIN,RHP,MLB,Keeper Contract,[6] TCR,TC R,,4556
LAW,Law-Abiding Citizens,Jairo Iriarte,CWS,RHP,Farm,Farm Contract,[7] P,P,,4678
LAW,Law-Abiding Citizens,Justin Martinez,AZ,RP,MLB,Keeper Contract,[5] TC1,TC 1,,5216
LAW,Law-Abiding Citizens,Cris Rodriguez,DET,OF,Farm,Farm Contract,[7] P,P,,6500
LAW,Law-Abiding Citizens,Walker Jenkins,MIN,OF,Farm,Purchased Contract,[7] P,P,,6568
LAW,Law-Abiding Citizens,Blake Mitchell,KC,C,Farm,Purchased Contract,[7] P,P,,6602
LAW,Law-Abiding Citizens,Nolan Schanuel,LAA,1B,MLB,Keeper Contract,[5] TC1,TC 1,,6606
LAW,Law-Abiding Citizens,Alex Clemmey,WSH,LHP,Farm,Purchased Contract,[7] P,P,,6618
LAW,Law-Abiding Citizens,Trevor Harrison,TB,RHP,Farm,Farm Contract,[7] P,P,,7122
LAW,Law-Abiding Citizens,Eduardo Beltre,MIN,OF,Farm,Farm Contract,[7] P,P,,7565
LAW,Law-Abiding Citizens,JJ Wetherholt,STL,SS,Farm,Purchased Contract,[7] P,P,,7619
LAW,Law-Abiding Citizens,Brody Brecht,COL,RHP,Farm,Farm Contract,[7] P,P,,7631
LAW,Law-Abiding Citizens,Theodore Gillen,TB,OF,Farm,Development Cont.,[7] P,P,,7669
LAW,Law-Abiding Citizens,Jac Caglianone,KC,1B,Farm,Development Cont.,[7] P,P,,7685
LAW,Law-Abiding Citizens,Roman Angelo,AZ,RHP,Farm,Farm Contract,[7] P,P,,7772
LAW,Law-Abiding Citizens,Juan Mateo,ATL,SS,Farm,Purchased Contract,[7] P,P,,7359
SAD,not much of a donkey,José Ramírez,CLE,3B,MLB,Keeper Contract,[3] VC1,VC 1,9507,1884
B2J,Btwn2Jackies,J.T. Realmuto,PHI,"C,1B",MLB,Keeper Contract,[5] TC1,TC 1,9718,1889
SAD,not much of a donkey,Matt Olson,ATL,1B,MLB,Keeper Contract,[0] FC2,FC 2,9605,1893
CFL,Country Fried Lamb,Carlos Correa,HOU,SS,MLB,Keeper Contract,[5] TC1,TC 1,9573,1933
SAD,not much of a donkey,Kyle Schwarber,PHI,"1B,OF",MLB,Keeper Contract,[3] VC1,VC 1,9861,1959
LAW,Law-Abiding Citizens,Aaron Nola,PHI,P,MLB,Keeper Contract,[2] VC2,VC 2,9882,2001
HAM,Hammers,Drew Rasmussen,TB,P,MLB,Keeper Contract,[5] TC1,TC 1,11789,2409
SAD,not much of a donkey,Elly De La Cruz,CIN,SS,MLB,Keeper Contract,[4] TC2,TC 2,,2445
CFL,Country Fried Lamb,Evan Carter,TEX,OF,MLB,Keeper Contract,[6] TCR,TC R,,2474
SAD,not much of a donkey,Jake Cousins,NYY,RP,MLB,Keeper Contract,[5] TC1,TC 1,,2590
SAD,not much of a donkey,Jeffrey Springs,OAK,SP,MLB,Keeper Contract,[5] TC1,TC 1,,2644
HAM,Hammers,Logan Webb,SF,P,MLB,Keeper Contract,[2] VC2,VC 2,11235,2884
SAD,not much of a donkey,Luis Arraez,SD,"1B, 2B",MLB,Keeper Contract,[2] VC2,VC 2,,2893
SAD,not much of a donkey,Tony Santillan,CIN,RP,MLB,Keeper Contract,[5] TC1,TC 1,,3300
SAD,not much of a donkey,Victor Robles,SEA,CF,MLB,Keeper Contract,[5] TC1,TC 1,,3361
SAD,not much of a donkey,Willson Contreras,BOS,C,MLB,Keeper Contract,[4] TC2,TC 2,10166,3384
SAD,not much of a donkey,Mason Miller,OAK,RP,MLB,Keeper Contract,[5] TC1,TC 1,,3388
SAD,not much of a donkey,Eury Pérez,MIA,SP,MLB,Keeper Contract,[4] TC2,TC 2,,3448
SAD,not much of a donkey,Bobby Miller,LAD,SP,MLB,Keeper Contract,[5] TC1,TC 1,,3458
SAD,not much of a donkey,Jackson Chourio,MIL,CF,MLB,Keeper Contract,[5] TC1,TC 1,,3468
SAD,not much of a donkey,Kevin Alcántara,CHC,OF,Farm,Purchased Contract,[7] P,P,,3526
SAD,not much of a donkey,Tyler Black,MIL,1B,Farm,Farm Contract,[7] P,P,,3709
LAW,Law-Abiding Citizens,Michael Arroyo,SEA,2B,Farm,Purchased Contract,[7] P,P,,3816
SAD,not much of a donkey,Tink Hence,STL,RHP,Farm,Purchased Contract,[7] P,P,,3832
SAD,not much of a donkey,Termarr Johnson,PIT,2B,Farm,Purchased Contract,[7] P,P,,3886
