UPID,Rank,Player,Team,Position,School,Level,eta,Age,Height / Weight,Bats,Throws,FV,composite score
8231,95,Jaider Suarez,KCR,SS,,,,,,,,37.5,78.57142857
8232,96,Starling De La Cruz,ATL,CF,,,,,,,,37.5,79.28571429
7987,97,Landon Harmon,WSN,RHP,East Union (MS),ROK,2029,19,"6' 5"" / 190 lbs",R,R,45,82.14285714
8233,98,Cleiner Ramirez,NYM?,OF,,,,,,,,37.5,80.71428571
8234,99,Juan Duran,WSN,RF,,,,,,,,35,80.71428571
8005,100,J.D. Thompson,,LHP,Vanderbilt,ROK,2028,22,"6' 0"" / 199 lbs",R,L,0,71.42857143
7988,101,Angel Cervantes,PIT,RHP,Warren (CA),-,-,18,"6' 3"" / 195 lbs",R,R,45,85
7989,102,Jordan Yost,DET,SS,Sickles (FL),ROK,2029,19,"6' 0"" / 170 lbs",L,R,42.5,85
8235,103,Diego Serna,SDP,SP,,,,,,,,35,83.57142857
7990,104,Nick Becker,SEA,SS,Don Bosco Prep (NJ),A,2029,19,"6' 4"" / 190 lbs",R,R,42.5,86.42857143
8236,105,Yadier Muñoz,CHC,SS,,,,,,,,35,85
7991,106,Alec Blair,,OF,De La Salle (CA),-,-,19,"6' 6"" / 195 lbs",L,L,42.5,87.85714286
7992,107,Cade Obermueller,PHI,LHP,Iowa,ROK,2028,22,"6' 0"" / 170 lbs",L,L,40,87.85714286
8237,108,DawvrisBrito,BOS,SS,,,,,,,,35,87.14285714
7993,109,Charles Davalan,LAD,OF,Arkansas,A,2028,22,"5' 9"" / 190 lbs",L,R,42.5,90
8238,110,Jaims Martinez,CHC,SS,,,,,,,,35,88.57142857
8010,111,Zach Strickland,,RHP,Maranatha (CA),-,-,19,"6' 2"" / 180 lbs",S,R,0,79.28571429
7994,112,Ryan Mitchell,STL,OF/INF,Houston (TN),ROK,2029,18,"6' 2"" / 185 lbs",L,R,42.5,92.14285714
8239,113,Douglas Olivo,DET,CF,,,,,,,,35,90.71428571
7995,114,Dean Moss,TBR,OF,IMG Academy (FL),ROK,2029,19,"6' 0"" / 180 lbs",L,R,42.5,93.57142857
8240,115,Ismael Contreras,COL,RHP,,,,,,,,35,92.14285714
7996,116,Jaden Fauske,CHW,OF,Nazareth Academy (IL),ROK,2029,19,"6' 3"" / 200 lbs",L,R,42.5,95
7998,117,Ethan Petry,WSN,OF/1B,South Carolina,A,2028,21,"6' 4"" / 235 lbs",R,R,40,95
7121,118,Dean Curley,CLE,INF,Tennessee,A,2028,21,"6' 3"" / 218 lbs",R,R,40,95.71428571
8002,119,Mitch Voit,NYM,2B,Michigan,A,2028,21,"6' 0"" / 201 lbs",R,R,40,96.42857143
8000,120,Marcus Phillips,BOS,RHP,Tennessee,ROK,2028,21,"6' 4"" / 246 lbs",R,R,47.5,99.28571429
8001,121,Dax Kilby,NYY,SS,Newnan (GA),A,2029,19,"6' 2"" / 190 lbs",L,R,45,99.28571429
8003,122,Brady Ebel,MIL,SS,Corona (CA),A,2029,18,"6' 3"" / 195 lbs",L,R,40,98.57142857
8004,123,Brock Sell,,OF,Stanford,-,-,19,"6' 1"" / 176 lbs",L,R,40,99.28571429
8006,124,Lucas Franco,,SS,Texas Christian,-,-,18,"6' 3"" / 180 lbs",L,R,40,100
8007,125,Johnny Slawinski,LAA,LHP,Johnson (TX),ROK,2029,18,"6' 3"" / 180 lbs",L,L,40,100.7142857
8008,126,Briggs McKenzie,ATL,LHP,Corinth Holders (NC),ROK,2029,19,"6' 2"" / 190 lbs",L,L,37.5,100.7142857
8009,127,AJ Russell,TEX,RHP,Tennessee,ROK,2028,21,"6' 6"" / 223 lbs",R,R,42.5,102.8571429
8027,128,Brayden Jaksa,,C,Irvington (CA),-,-,18,"6' 5"" / 215 lbs",R,R,0,91.42857143
8011,129,Henry Godbout,BOS,2B,Virginia,A+,2028,22,"6' 2"" / 190 lbs",R,R,42.5,104.2857143
8013,130,Joseph Dzierwa,BAL,LHP,Michigan State,ROK,2028,21,"6' 8"" / 200 lbs",R,L,40,104.2857143
8012,131,Henry Ford,,OF,Tennessee,-,-,21,"6' 5"" / 220 lbs",R,R,45,106.4285714
8014,132,Michael Lombardi,KCR,RHP,Tulane,ROK,2028,22,"6' 3"" / 201 lbs",R,R,40,105.7142857
7023,133,James Ellwanger,MIN,RHP,Dallas Baptist,ROK,2028,21,"6' 4"" / 205 lbs",R,R,40,106.4285714
8016,134,Chase Shores,LAA,RHP,Louisiana State,ROK,2027,21,"6' 8"" / 245 lbs",R,R,40,107.1428571
8017,135,Gavin Turley,ATH,OF,Oregon State,A,2028,22,"6' 1"" / 196 lbs",R,R,37.5,107.1428571
8018,136,Kyle Lodise,CHW,SS,Georgia Tech,A+,2028,22,"5' 11"" / 180 lbs",R,R,40,108.5714286
8034,137,Dean Livingston,,RHP,Hebron Christian (GA),ROK,2029,19,"6' 4"" / 205 lbs",R,R,0,97.85714286
8019,138,Daniel Dickinson,MIL,SS/2B,Louisiana State,ROK,2028,22,"6' 0"" / 180 lbs",R,R,40,110
8020,139,Max Williams,MIA,OF,Florida State,A,2028,21,"6' 2"" / 207 lbs",L,L,37.5,110
8021,140,Cooper Flemming,TBR,SS,Aliso Niguel (CA),ROK,2029,19,"6' 3"" / 190 lbs",L,R,40,111.4285714
8037,141,Luke Hill,,3B/2B,Mississippi,A,2028,21,"6' 1"" / 200 lbs",R,R,0,100.7142857
8022,142,Korbyn Dickerson,SEA,OF,Indiana,A,2028,22,"6' 1"" / 205 lbs",R,R,40,112.8571429
8023,143,Kane Kepley,CHC,OF,North Carolina,A,2028,21,"5' 8"" / 180 lbs",L,L,40,113.5714286
8025,144,Miguel Sime Jr.,WSH,RHP,Poly Prep (NY),ROK,2029,18,"6' 4"" / 235 lbs",R,R,37.5,113.5714286
8024,145,Uli Fernsler,,LHP,Texas Christian,-,-,18,"6' 4"" / 225 lbs",L,L,42.5,115.7142857
8026,146,Kaleb Wing,CHC,RHP,Scotts Valley (CA),ROK,2029,19,"6' 2"" / 180 lbs",R,R,37.5,115
8042,147,Marcos Paz,,RHP,Louisiana State,-,-,19,"6' 1"" / 225 lbs",R,R,0,105
8029,148,William Patrick,,OF,Louisiana State,-,-,19,"6' 2"" / 200 lbs",R,R,37.5,116.4285714
8028,149,Josh Owens,TEX,SS,Providence (TN),A,2029,19,"6' 3"" / 185 lbs",L,R,42.5,118.5714286
8030,150,Talon Haley,,LHP,Lewisburg (MS),ROK,2029,19,"6' 2"" / 200 lbs",R,L,37.5,117.8571429
8047,151,Josiah Hartshorn,,OF,Orange Lutheran (CA),ROK,2029,18,"6' 2"" / 220 lbs",S,L,0,107.8571429
8031,152,Taitn Gray,TBR,C/OF,Dallas Center-Grimes (IA),ROK,2029,18,"6' 4"" / 220 lbs",S,R,42.5,120.7142857
8032,153,Easton Carmichael,PIT,C,Oklahoma,A+,2028,22,"6' 1"" / 200 lbs",R,R,40,120.7142857
8048,154,Jacob Parker,,OF,Purvis (MS),-,-,19,"6' 3"" / 215 lbs",L,R,0,110
8033,155,Coy James,WSH,SS,Davie County (NC),ROK,2029,18,"6' 0"" / 185 lbs",R,R,42.5,122.8571429
8050,156,Justin Lamkin,KCR,LHP,Texas A&M,ROK,2028,21,"6' 4"" / 210 lbs",R,L,,111.4285714
8035,157,Brett Crossland,,RHP,Texas,-,-,19,"6' 5"" / 240 lbs",R,R,40,123.5714286
8036,158,Colin Yeaman,BAL,SS,UC Irvine,A,2028,21,"6' 2"" / 200 lbs",R,R,45,125.7142857
8038,159,River Hamilton,,RHP,Barlow (OR),A,2029,19,"6' 3"" / 195 lbs",R,R,40,125
8039,160,Ethan Moore,,SS/2B,Oak Park & River Forest (IL),-,-,19,"6' 0"" / 190 lbs",S,R,40,125.7142857
8040,161,Jared Jones,,1B,Louisiana State,A+,2028,22,"6' 4"" / 246 lbs",R,R,37.5,125.7142857
8055,162,Sean Youngerman,,RHP,Oklahoma State,ROK,2028,21,"6' 3"" / 230 lbs",R,R,0,115.7142857
8041,163,Brian Curley,ARI,RHP,Georgia,ROK,2028,22,"5' 10"" / 212 lbs",R,R,40,127.8571429
8057,164,Nick Dumesnil,,OF,California Baptist,A,2028,21,"6' 2"" / 210 lbs",R,R,0,117.1428571
8058,165,Ethan Frey,HOU,OF,Louisiana State,A,2028,21,"6' 6"" / 225 lbs",R,R,,117.8571429
8044,166,Aiden Stillman,,LHP,Vanderbilt,-,-,19,"6' 3"" / 205 lbs",R,L,37.5,129.2857143
8059,167,Blaine Bullard,,OF,Klein Cain (TX),ROK,2029,19,"6' 2"" / 180 lbs",S,L,0,119.2857143
8043,168,Jack Lafflam,,RHP,Brophy Prep (AZ),-,-,19,"6' 6"" / 178 lbs",R,R,42.5,132.1428571
8045,169,Jake Cook,TOR,OF,Southern MIssissippi,ROK,2028,22,"6' 3"" / 185 lbs",L,L,40,132.1428571
8061,170,Pico Kohn,,LHP,Mississippi State,ROK,2028,23,"6' 4"" / 200 lbs",L,L,0,121.4285714
8046,171,Ben Jacobs,DET,LHP,Arizona State,ROK,2028,21,"6' 1"" / 195 lbs",L,L,40,133.5714286
8049,172,Trent Grindlinger,,C,Huntington Beach (CA),-,-,19,"6' 2"" / 195 lbs",R,R,37.5,133.5714286
8051,173,RJ Austin,BAL,OF,Vanderbilt,A,-,22,"5' 11"" / 199 lbs",R,R,37.5,134.2857143
8066,174,JT Quinn,BAL,RHP,Georgia,ROK,2028,21,"6' 6"" / 210 lbs",R,R,,124.2857143
