upid,name,manager,owned,mlb_id,reason,age,pa,g_bat,ip,g_pitch,before_player_type,before_contract_type,before_status,before_years,after_player_type,after_contract_type,after_status,after_years
6573,Kyle Teel,Rick Vaughn,True,691019,PA>=350 (522),23.0,522.0,138.0,0.0,0.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
6707,Kristian Campbell,Rick Vaughn,True,692225,PA>=350 (526),23.0,526.0,134.0,0.0,0.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
7703,Nick Kurtz,Rick Vaughn,True,701762,PA>=350 (888),22.0,888.0,212.0,0.0,0.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
2429,Edgar Quero,The Bluke Blokes,True,700337,PA>=350 (728),22.0,728.0,202.0,0.0,0.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
3647,Forrest Whitley,The Bluke Blokes,True,666215,age>=26 (28),28.0,0.0,26.0,6.2,6.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
3653,Matt Mervis,The Bluke Blokes,True,670223,age>=26 (27),27.0,522.0,156.0,0.4,2.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
3846,Kameron Misner,The Bluke Blokes,True,670224,age>=26 (28),28.0,464.0,158.0,0.0,0.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
3901,Cole Young,The Bluke Blokes,True,702284,PA>=350 (496),22.0,496.0,148.0,0.0,0.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
6064,Kyle Hurt,The Bluke Blokes,True,669165,age>=26 (27),27.0,0.0,8.0,16.4,8.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
7409,Johnathan Rodriguez,The Bluke Blokes,True,671286,age>=26 (26),26.0,220.0,82.0,0.0,0.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
3543,Adrian Del Castillo,Weekend Warriors,True,680728,age>=26 (26),26.0,404.0,122.0,0.0,0.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
6124,Christian Scott,Weekend Warriors,True,681035,age>=26 (26),26.0,0.0,18.0,94.2,18.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
6443,Colby Thomas,Weekend Warriors,True,687515,G_bat>=80 (86),24.0,228.0,86.0,0.0,0.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
3522,Colson Montgomery,Weekend Warriors,True,695657,PA>=350 (482),23.0,482.0,122.0,0.0,0.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
3914,Dalton Rushing,Weekend Warriors,True,687221,G_bat>=80 (92),24.0,270.0,92.0,0.0,0.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
3845,Ian Seymour,Weekend Warriors,True,693855,age>=26 (27),27.0,0.0,32.0,84.4,32.0,Farm,Farm Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
3443,Marcelo Mayer,Weekend Warriors,True,691785,G_bat>=80 (88),23.0,272.0,88.0,0.0,0.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
6530,Chase Meidroth,Weekend Warriors,True,805367,PA>=350 (922),24.0,922.0,224.0,0.0,0.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
4030,Richard Fitts,Weekend Warriors,True,690916,age>=26 (26),26.0,0.0,30.0,130.4,30.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
6868,Sawyer Gipson-Long,Weekend Warriors,True,687830,age>=26 (28),28.0,0.0,24.0,102.19999999999999,24.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
3730,Mason Montgomery,Whiz Kids,True,682254,G_bat>=80 (132),25.0,0.0,132.0,110.4,132.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
4001,Max Muncy,Whiz Kids,True,691777,PA>=350 (426),23.0,426.0,118.0,0.0,0.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
7335,Craig Yoho,Law-Abiding Citizens,True,684974,age>=26 (26),26.0,0.0,16.0,16.4,16.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
3674,Kyren Paris,,False,677347,PA>=350 (490),24.0,490.0,160.0,0.0,0.0,Farm,,[7] P,P,MLB,,[5] TC1,TC 1
3697,Grant McCray,,False,687529,G_bat>=80 (104),25.0,302.0,104.0,0.0,0.0,Farm,,[7] P,P,MLB,,[5] TC1,TC 1
3745,Everson Pereira,,False,677592,G_bat>=80 (92),24.0,326.0,92.0,0.0,0.0,Farm,,[7] P,P,MLB,,[5] TC1,TC 1
3763,Denzel Clarke,,False,672016,G_bat>=80 (94),25.0,318.0,94.0,0.0,0.0,Farm,,[7] P,P,MLB,,[5] TC1,TC 1
3861,Leo Jimenez,,False,677870,PA>=350 (484),24.0,484.0,162.0,0.0,0.0,Farm,,[7] P,P,MLB,,[5] TC1,TC 1
3959,Trey Lipscomb,,False,702358,PA>=350 (430),25.0,430.0,128.0,0.0,0.0,Farm,,[7] P,P,MLB,,[5] TC1,TC 1
4011,Joey Estes,,False,683155,IP>=100.0 (296.4),24.0,0.0,60.0,296.4,60.0,Farm,,[7] P,P,MLB,,[5] TC1,TC 1
4087,Darell Hernaiz,,False,687231,PA>=350 (586),24.0,586.0,178.0,0.0,0.0,Farm,,[7] P,P,MLB,,[5] TC1,TC 1
4112,Prelander Berroa,,False,672860,G_pitch>=30 (38),25.0,0.0,38.0,40.400000000000006,38.0,Farm,,[7] P,P,MLB,,[5] TC1,TC 1
4546,Lyon Richardson,,False,680689,IP>=100.0 (107.20000000000002),25.0,0.0,78.0,107.20000000000002,78.0,Farm,,[7] P,P,MLB,,[5] TC1,TC 1
5282,Jose Fernandez,,False,605228,G_bat>=80 (154),24.0,318.0,154.0,939.4000000000001,152.0,Farm,,[7] P,P,MLB,,[5] TC1,TC 1
5298,Jose A. Ferrer,,False,678606,IP>=100.0 (274.2),25.0,0.0,276.0,274.2,276.0,Farm,,[7] P,P,MLB,,[5] TC1,TC 1
6093,Roddery Munoz,,False,682610,IP>=100.0 (186.4),25.0,0.0,54.0,186.4,54.0,Farm,,[7] P,P,MLB,,[5] TC1,TC 1
6555,Jakob Marsee,Whiz Kids,True,805300,PA>=350 (366),24.0,366.0,88.0,0.0,0.0,Farm,Purchased Contract,[7] P,P,MLB,Keeper Contract,[6] TCR,TC R
6712,Graham Pauley,,False,688363,PA>=350 (382),25.0,382.0,134.0,0.0,0.0,Farm,,[7] P,P,MLB,,[5] TC1,TC 1
6896,Zach Dezenzo,,False,701305,G_bat>=80 (106),25.0,348.0,106.0,0.0,0.0,Farm,,[7] P,P,MLB,,[5] TC1,TC 1
7395,Seth Halvorsen,,False,678020,G_bat>=80 (108),25.0,0.0,108.0,102.6,108.0,Farm,,[7] P,P,MLB,,[5] TC1,TC 1
