upid,name,manager,player_type,contract_type,status,years_simple
2848,Ky Bush,,MLB,,[5] TC1,TC 1
2869,LaMonte Wade Jr.,,MLB,,[5] TC1,TC 1
2931,Marcus Stroman,,MLB,,[5] TC1,TC 1
2967,Merrill Kelly,,MLB,,[5] TC1,TC 1
2999,Mike Burrows,,MLB,,[5] TC1,TC 1
3013,Mitch Garver,,MLB,,[5] TC1,TC 1
3017,Mitchell Parker,,MLB,,[5] TC1,TC 1
3086,Paul Sewald,,MLB,,[5] TC1,TC 1
3089,Pedro Avila,,MLB,,[5] TC1,TC 1
3097,Peyton Battenfield,,MLB,,[5] TC1,TC 1
3144,Robert Gasser,,MLB,,[5] TC1,TC 1
3146,Robert Stephenson,,MLB,,[5] TC1,TC 1
3178,Ryan Mountcastle,,MLB,,[5] TC1,TC 1
3210,Sean Burke,,MLB,,[5] TC1,TC 1
3230,Shawn Armstrong,,MLB,,[5] TC1,TC 1
3241,Jose Hernandez,,MLB,,[5] TC1,TC 1
3280,Tejay Antone,,MLB,,[5] TC1,TC 1
3281,Thairo Estrada,,MLB,,[5] TC1,TC 1
3283,Thomas Szapucki,,MLB,,[5] TC1,TC 1
3326,Triston McKenzie,,MLB,,[5] TC1,TC 1
3378,Will Smith,,MLB,,[5] TC1,TC 1
3440,Jordan Walker,,MLB,,[5] TC1,TC 1
3450,Henry Davis,,MLB,,[5] TC1,TC 1
3459,Brennen Davis,,MLB,,[5] TC1,TC 1
3465,Quinn Priester,,MLB,,[5] TC1,TC 1
3475,Brayan Bello,,MLB,,[5] TC1,TC 1
3485,Luis Campusano,,MLB,,[5] TC1,TC 1
3487,Ezequiel Duran,,MLB,,[5] TC1,TC 1
3492,Justin Foscue,,MLB,,[5] TC1,TC 1
3496,Luis Matos,,MLB,,[5] TC1,TC 1
3505,Brandon Williamson,,MLB,,[5] TC1,TC 1
3510,Cole Winn,,MLB,,[5] TC1,TC 1
3512,Zack Gelof,,MLB,,[5] TC1,TC 1
3515,Jordan Groshans,,MLB,,[5] TC1,TC 1
3516,Brayan Rocchio,,MLB,,[5] TC1,TC 1
3524,Owen White,,MLB,,[5] TC1,TC 1
3533,Vaughn Grissom,,MLB,,[5] TC1,TC 1
3542,Ryan Bliss,,MLB,,[5] TC1,TC 1
3547,Braden Shewmake,,MLB,,[5] TC1,TC 1
3548,Freddy Tarnok,,MLB,,[5] TC1,TC 1
3552,Victor Vodnik,,MLB,,[5] TC1,TC 1
3553,Darius Vines,,MLB,,[5] TC1,TC 1
3556,AJ Smith-Shawver,,MLB,,[5] TC1,TC 1
3560,Kyle Stowers,,MLB,,[5] TC1,TC 1
3565,Austin Peterson,,MLB,,[5] TC1,TC 1
3571,Bryan Mata,,MLB,,[5] TC1,TC 1
3572,Brandon Walter,,MLB,,[5] TC1,TC 1
3574,Chris Murphy,,MLB,,[5] TC1,TC 1
3581,Caleb Kilian,,MLB,,[5] TC1,TC 1
3618,Jhonkensy Noel,,MLB,,[5] TC1,TC 1
3621,Elehuris Montero,,MLB,,[5] TC1,TC 1
3626,Jaden Hill,,MLB,,[5] TC1,TC 1
3634,Ryan Kreidler,,MLB,,[5] TC1,TC 1
3638,Samad Taylor,,MLB,,[5] TC1,TC 1
3645,Korey Lee,,MLB,,[5] TC1,TC 1
3646,Pedro Leon,,MLB,,[5] TC1,TC 1
3655,Edouard Julien,,MLB,,[5] TC1,TC 1
