top100_rank,upid,name,FBP_Team,manager,contract_type,org,position,age,level,fypd,debuted
,6293,C.J. Culpepper,TBB,The Bluke Blokes,Development Cont.,MIN,SP,24,,False,False
,7048,C.J. Kayfus,TBB,The Bluke Blokes,Purchased Contract,CLE,"1B,OF",24,,False,True
,3894,Cade Horton,DMN,The Damn Yankees,Blue Chip Contract,CHC,SP,24,,False,True
,7971,Caden Bodine,TBB,The Bluke Blokes,Development Cont.,BAL,C,22,,True,False
,7975,Cam Cannarella,CFL,Country Fried Lamb,Development Cont.,MIA,OF,22,,True,False
,3891,Cam Collier,RV,Rick Vaughn,Development Cont.,CIN,"1B,3B",21,,False,False
,7568,Cam Schlittler,RV,Rick Vaughn,Purchased Contract,NYY,SP,25,,False,True
,3900,Carson Whisenhunt,JEP,Jepordizers!,Purchased Contract,SF,SP,25,,False,True
,7993,Charles Davalan,SAD,not much of a donkey,Development Cont.,LAD,OF,22,,True,False
,7602,Chase Burns,RV,Rick Vaughn,Purchased Contract,CIN,"SP,RP",23,,False,True
,6696,Cole Carrigg,WIZ,Whiz Kids,Development Cont.,COL,OF,23,,False,False
,3901,Cole Young,TBB,The Bluke Blokes,Purchased Contract,SEA,2B,22,,False,True
,3522,Colson Montgomery,WAR,Weekend Warriors,Purchased Contract,CWS,"3B,SS",23,,False,True
,6500,Cris Rodriguez,DMN,The Damn Yankees,Development Cont.,DET,OF,18,,False,False
,7647,Dakota Jordan,HAM,Hammers,Development Cont.,SF,OF,22,,False,False
,7578,Dante Nori,B2J,Btwn2Jackies,Development Cont.,PHI,OF,21,,False,False
,3540,Deyvison De Los Santos,TBB,The Bluke Blokes,Development Cont.,MIA,"1B,3B",22,,False,False
,7807,Edgar Montero,WAR,Weekend Warriors,Development Cont.,ATH,SS,19,,False,False
,6075,Edgardo Henriquez,LFB,La Flama Blanca,Purchased Contract,LAD,RP,23,,False,True
,7785,Elian Peña,LFB,La Flama Blanca,Development Cont.,NYM,OF,19,,False,False
,6580,Enrique Bradfield Jr.,DMN,The Damn Yankees,Purchased Contract,BAL,OF,24,,False,False
,6702,Eric Bitonti,TBB,The Bluke Blokes,Development Cont.,MIL,1B,20,,False,False
,7553,Esteban Mejia,WIZ,Whiz Kids,Development Cont.,BAL,SP,21,,False,
,7967,Ethan Conrad,SAD,not much of a donkey,Development Cont.,CHC,OF,21,,True,False
,3720,Ethan Salas,RV,Rick Vaughn,Development Cont.,SD,C,19,MLB,False,False
,4675,Felnin Celesten,SAD,not much of a donkey,Development Cont.,SEA,SS,20,MLB,False,False
,8111,Francisco Renteria,LFB,La Flama Blanca,Development Cont.,PHI,LF,,,True,False
,7236,Gabriel Rincones,WAR,Weekend Warriors,Development Cont.,PHI,OF,,,False,False
,7961,Gavin Fien,DMN,The Damn Yankees,Development Cont.,TEX,SS,18,,True,False
,6805,George Klassen,JEP,Jepordizers!,Development Cont.,LAA,SP,24,MLB,False,False
,6752,Grant Taylor,SAD,not much of a donkey,Purchased Contract,CWS,RP,23,,False,True
,3596,Hao-Yu Lee,TBB,The Bluke Blokes,Development Cont.,DET,"2B,3B",23,,False,False
,6570,Hurston Waldrep,HAM,Hammers,Purchased Contract,ATL,SP,23,,False,True
,7950,Ike Irish,DMN,The Damn Yankees,Development Cont.,BAL,"C,1B,OF",22,,True,False
,7625,JD Dix,TBB,The Bluke Blokes,Development Cont.,AZ,2B,20,,False,False
,7685,Jac Caglianone,DMN,The Damn Yankees,Blue Chip Contract,KC,"1B,OF",23,,False,True
,3924,Jackson Ferris,TBB,The Bluke Blokes,Development Cont.,LAD,SP,22,,False,False
,3944,Jacob Melton,WAR,Weekend Warriors,Purchased Contract,HOU,CF,25,,False,True
,3906,Jacob Misiorowski,JEP,Jepordizers!,Blue Chip Contract,MIL,SP,23,,False,True
,6016,Jacob Reimer,DRO,Andromedans,Development Cont.,NYM,"1B,3B",21,,False,False
,6555,Jakob Marsee,WIZ,Whiz Kids,Purchased Contract,MIA,CF,24,,False,True
,3580,James Triantos,JEP,Jepordizers!,Development Cont.,CHC,"2B,CF",23,,False,False
,7632,Jared Thomas,HAM,Hammers,Purchased Contract,COL,OF,22,,False,False
,3708,Jeferson Quero,JEP,Jepordizers!,Development Cont.,MIL,C,23,,False,False
,6593,Jefferson Rojas,SAD,not much of a donkey,Development Cont.,CHC,SS,20,,False,False
,7178,Jhancarlos Lara,HAM,Hammers,Purchased Contract,ATL,RHP,23,,False,False
,6864,Jhostynxon Garcia,HAM,Hammers,Purchased Contract,BOS,CF,23,,False,True
,7743,Jonathon Long,DRO,Andromedans,Purchased Contract,CHC,1B,24,,False,False
,3445,Jordan Lawlar,RV,Rick Vaughn,Purchased Contract,AZ,3B,23,,False,True
,7177,Jose Perdomo,LFB,La Flama Blanca,Development Cont.,ATL,SS,19,,False,False
,7896,Josh Adamczewski,WAR,Weekend Warriors,Development Cont.,MIL,2B,20,,False,False
,7965,Josh Hammond,CFL,Country Fried Lamb,Development Cont.,KC,3B,19,,True,False
,4151,Juan Brito,JEP,Jepordizers!,Development Cont.,CLE,"1B,2B",24,,False,False
,7953,Kayson Cunningham,HAM,Hammers,Development Cont.,AZ,SS,19,,True,False
,7918,Kendry Chourio,WIZ,Whiz Kids,Development Cont.,KC,SP,18,,False,False
,7156,Kendry Rojas,HAM,Hammers,Purchased Contract,TOR,SP,23,,False,False
,7755,Kevin Alvarez,WIZ,Whiz Kids,Development Cont.,HOU,OF,18,,False,False
,7796,Kevin Defrank,WIZ,Whiz Kids,Development Cont.,MIA,SP,17,,False,False
,7671,Khal Stephen,SAD,not much of a donkey,Development Cont.,TOR,SP,23,,False,False
,6707,Kristian Campbell,RV,Rick Vaughn,Purchased Contract,BOS,"2B,CF",23,,False,True
,6573,Kyle Teel,RV,Rick Vaughn,Purchased Contract,CWS,C,23,,False,True
,6082,Logan Henderson,HAM,Hammers,Purchased Contract,MIL,SP,23,,False,True
,6605,LuJames Groover,HAM,Hammers,Purchased Contract,AZ,3B,23,AA,False,False
,8339,Luis Hernández,WAR,Weekend Warriors,Blue Chip Contract,SF,SS,17,MLB,True,
,4628,Luis Morales,B2J,Btwn2Jackies,Purchased Contract,ATH,SP,23,,False,True
,6720,Luke Keaschall,JEP,Jepordizers!,Blue Chip Contract,MIN,2B,23,,False,True
