top100_rank,upid,name,FBP_Team,manager,contract_type,org,position,age,level,fypd,debuted
,7954,Marek Houston,DMN,The Damn Yankees,Development Cont.,MIN,SS,21,,True,False
,3486,Mick Abel,TBB,The Bluke Blokes,Purchased Contract,PHI,SP,24,,False,True
,8025,Miguel Sime Jr.,CFL,Country Fried Lamb,Development Cont.,WSH,SP,18,,True,False
,7579,Moisés Chace,WAR,Weekend Warriors,Development Cont.,PHI,SP,22,,False,False
,3495,Nick Yorke,DRO,Andromedans,Purchased Contract,PIT,2B,23,,False,True
,6571,Noble Meyer,LFB,La Flama Blanca,Development Cont.,MIA,SP,21,,False,False
,3920,Owen Murphy,RV,Rick Vaughn,Development Cont.,ATL,SP,22,,False,False
,8190,Randy Santana,TBB,The Bluke Blokes,Development Cont.,DET,CF,,,True,False
,3494,Ricky Tiedemann,HAM,Hammers,Purchased Contract,TOR,SP,23,,False,False
,3746,Roderick Arias,LFB,La Flama Blanca,Development Cont.,NYY,"3B,SS",21,,False,False
,7540,Roki Sasaki,JEP,Jepordizers!,Blue Chip Contract,LAD,SP,24,,False,True
,3852,Roman Anthony,DMN,The Damn Yankees,Purchased Contract,BOS,CF,21,,False,True
,3935,Ryan Clifford,SAD,not much of a donkey,Development Cont.,NYM,"1B,OF",22,,False,False
,6035,Ryan Ritter,DRO,Andromedans,Purchased Contract,COL,"2B,SS",25,,False,True
,7889,Sam Antonacci,TBB,The Bluke Blokes,Development Cont.,CWS,A+,23,,False,
,7595,Seaver King,CFL,Country Fried Lamb,Blue Chip Contract,WSH,SS,22,,False,False
,7776,Shotaro Morii,LFB,La Flama Blanca,Development Cont.,ATH,SS,19,,False,False
,7623,Slade Caldwell,CFL,Country Fried Lamb,Development Cont.,AZ,CF,19,,False,False
,7963,Slater de Brun,CFL,Country Fried Lamb,Development Cont.,BAL,OF,18,,True,False
,3910,Spencer Jones,B2J,Btwn2Jackies,Purchased Contract,NYY,CF,24,,False,False
,3857,Tekoah Roby,TBB,The Bluke Blokes,Development Cont.,STL,SP,24,,False,False
,6569,Tommy Troy,B2J,Btwn2Jackies,Purchased Contract,AZ,2B,24,,False,False
,6808,Tre' Morgan,HAM,Hammers,Purchased Contract,TB,"1B,OF",23,,False,False
,4665,Troy Melton,SAD,not much of a donkey,Purchased Contract,DET,"SP,RP",25,,False,True
,7604,Tyson Lewis,HAM,Hammers,Development Cont.,CIN,SS,20,,False,False
,7642,Tyson Neighbors,DRO,Andromedans,Purchased Contract,SD,RP,23,,False,False
,7999,Wandy Asigen,RV,Rick Vaughn,Blue Chip Contract,NYM,SS,,,True,False
,3984,Xavier Isaac,TBB,The Bluke Blokes,Blue Chip Contract,TB,Util,22,,False,False
,7964,Xavier Neyens,WIZ,Whiz Kids,Blue Chip Contract,HOU,SS,19,,True,False
