rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,avg,plateAppearances,totalBases,games,position,sportAbbrev,yahoo_owner,yahoo_team,yahoo_id,yahoo_position
74,tor,25,141,Addison Barger,680718,178,25,47,16,0,8,0.328,0.817,0.489,24,16,45,1,0,79,0.264,195,87,54,3B,MLB,DRO,DRO,12741,"3B,OF"
75,stl,28,138,Brendan Donovan,680977,281,43,87,21,0,5,0.377,0.815,0.438,29,25,41,3,1,107,0.31,314,123,72,2B,MLB,B2J,B2J,12351,"2B,3B,SS,OF"
76,laa,24,108,Zach Neto,687263,245,46,68,15,1,12,0.321,0.815,0.494,29,11,69,13,6,56,0.278,262,121,61,SS,MLB,SAD,SAD,60214,SS
77,phi,32,143,Bryce Harper,547180,213,32,55,13,0,9,0.368,0.814,0.446,34,35,47,8,0,85,0.258,253,95,57,1B,MLB,B2J,B2J,8875,1B
78,lad,34,119,Max Muncy,571970,236,33,58,9,2,11,0.373,0.814,0.441,45,48,64,4,0,104,0.246,292,104,75,3B,MLB,CFL,CFL,9606,3B
79,sf,32,137,Matt Chapman,656305,230,35,56,12,0,12,0.36,0.812,0.452,30,40,65,7,2,105,0.243,272,104,65,3B,MLB,HAM,HAM,10205,3B
80,bal,30,110,Ramón Laureano,657656,155,22,40,8,0,9,0.328,0.812,0.484,22,15,50,2,1,89,0.258,174,75,53,LF,MLB,,,,
81,bal,30,110,Ramón Laureano,657656,155,22,40,8,0,9,0.328,0.812,0.484,22,15,50,2,1,89,0.258,174,75,53,LF,MLB,,,,
82,sd,26,135,Fernando Tatis Jr.,665487,296,57,78,11,1,15,0.352,0.811,0.459,37,37,59,15,2,89,0.264,338,136,77,RF,MLB,LFB,LFB,10639,OF
83,col,31,115,Sam Hilliard,656541,43,7,9,3,1,2,0.346,0.811,0.465,3,9,18,2,1,14,0.209,52,20,17,LF,MLB,,,,
84,min,28,142,Willi Castro,650489,195,34,54,11,1,7,0.359,0.81,0.451,17,20,54,3,1,73,0.277,220,88,57,2B,MLB,CFL,CFL,10868,"2B,3B,SS,CF"
85,nyy,28,147,Trent Grisham,663757,229,37,55,5,1,15,0.343,0.81,0.467,31,35,63,0,1,81,0.24,265,107,68,CF,MLB,,,,
86,cin,29,113,TJ Friedl,670770,292,47,85,13,2,8,0.377,0.809,0.432,30,38,53,9,3,93,0.291,339,126,76,CF,MLB,CFL,CFL,11290,CF
87,col,24,115,Jordan Beck,687597,249,38,67,15,4,10,0.327,0.809,0.482,28,19,76,9,4,76,0.269,272,120,68,LF,MLB,,,,
88,tb,33,139,Yandy Díaz,650490,298,36,86,16,1,12,0.338,0.808,0.47,44,21,44,3,0,128,0.289,325,140,73,1B,MLB,B2J,B2J,10465,1B
89,stl,26,138,Alec Burleson,676475,231,25,70,11,0,9,0.339,0.807,0.468,33,14,33,3,0,103,0.303,249,108,69,1B,MLB,TBB,TBB,12550,"1B,OF"
90,mia,29,146,Dane Myers,667472,151,17,47,8,0,4,0.362,0.806,0.444,20,10,37,8,4,75,0.311,163,67,51,CF,MLB,JEP,JEP,62217,CF
91,mia,27,146,Kyle Stowers,669065,248,33,67,9,3,11,0.342,0.806,0.464,35,25,79,3,1,118,0.27,279,115,73,RF,MLB,TBB,TBB,11733,CF
92,mia,27,146,Kyle Stowers,669065,248,33,67,9,3,11,0.342,0.806,0.464,35,25,79,3,1,118,0.27,279,115,73,RF,MLB,TBB,TBB,11733,CF
93,nyy,31,121,Francisco Lindor,596019,313,49,84,14,0,16,0.339,0.805,0.466,42,28,64,13,2,113,0.268,354,146,78,SS,MLB,DRO,DRO,9116,SS
94,phi,31,143,Trea Turner,607208,317,54,95,16,2,9,0.355,0.803,0.448,35,24,54,19,5,128,0.3,346,142,77,SS,MLB,TBB,TBB,10056,SS
