#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName,CBSSportsName,CBSSportsID
60,Enrique Hernandez,571771,10472,10472,8835,*02h98*,LAD,1B/3B/ OF,1B/2B/ SS/3B/OF,Hernandez,Enrique,Hernández,Enrique,Enrique Hernández,"Enrique Hernandez 1B,3B,OF | LAD",1810385
61,Scott Alexander,518397,10591,10591,9149,*02hi5*,FA,RP,RP,Alexander,Scott,,,,Scott Alexander P | FA,2113509
62,Chris Sale,519242,10603,10603,7887,*01uca*,ATL,SP,SP,Sale,Chris,Sale,Chris,Chris Sale,Chris Sale P | ATL,1762602
63,Carlos Perez,542208,10642,10642,9035,*01suw*,HOU,C,C,Perez,Carlos,Pérez,Carlos,Carlos Pérez,Carlos Perez C | HOU,1945613
64,Gio Urshela,570482,10681,10681,9069,*026rz*,MIN,3B,1B/3B,Urshela,Gio,Urshela,Gio,Gio Urshela,Gio Urshela 3B | MIN,2043931
65,Jurickson Profar,595777,10815,10815,8228,*01spl*,ATL,OF,OF,Profar,Jurickson,Profar,Jurickson,Jurickson Profar,Jurickson Profar OF | ATL,1796123
66,Adam Duvall,594807,10950,10950,8829,*027ow*,FA,OF,OF,Duvall,Adam,,,,Adam Duvall OF | FA,2042091
67,Jacob deGrom,594798,10954,10954,8784,*02hjp*,TEX,SP,SP,deGrom,Jacob,deGrom,Jacob,Jacob deGrom,Jacob deGrom P | TEX,2044508
68,Kevin Kiermaier,595281,11038,11038,8624,*0381o*,FA,OF,OF,Kiermaier,Kevin,,,,Kevin Kiermaier OF | FA,1812666
69,Vince Velasquez,592826,11189,11189,9070,*028is*,CHC,RP,RP,Velasquez,Vince,Velasquez,Vince,Vince Velasquez,Vince Velasquez P | CHC,2117039
70,Tyler Lyons,544928,11334,,8493,*02haz*,NYY,P,P,Lyons,Tyler,Lyons,Tyler,Tyler Lyons,Tyler Lyons P | NYY,0
71,Sean Nolin,543594,11341,11341,8497,*02hia*,MIA,RP,RP,Nolin,Sean,,,,Sean Nolin P | MIA,2043264
72,Yasmani Grandal,518735,11368,11368,8215,*01uqq*,FA,C,C,Grandal,Yasmani,,,,Yasmani Grandal C | FA,1765807
73,Tommy Kahnle,592454,11384,11384,8736,*02ccf*,BOS,RP,RP,Kahnle,Tommy,,,,Tommy Kahnle P | BOS,2040766
74,Jose Quintana,500779,11423,11423,8280,*025kd*,COL,SP,SP,Quintana,Jose,Quintana,Jose,Jose Quintana,Jose Quintana P | COL,1913316
75,Drew Pomeranz,519141,11426,11426,8189,*01ucb*,LAA,RP,RP,Pomeranz,Drew,Pomeranz,Drew,Drew Pomeranz,Drew Pomeranz P | LAA,1765810
76,Gary Sanchez,596142,11442,11442,8212,*01t9q*,MIL,C,C,Sanchez,Gary,Sánchez,Gary,Gary Sánchez,Gary Sanchez C | MIL,1799263
77,Christian Yelich,592885,11477,11477,7903,*025dn*,MIL,DH,OF,Yelich,Christian,Yelich,Christian,Christian Yelich,Christian Yelich DH | MIL,1765815
78,Robbie Ray,592662,11486,11486,8775,*025j1*,SF,SP,SP,Ray,Robbie,Ray,Robbie,Robbie Ray,Robbie Ray P | SF,1947846
79,Joely Rodriguez,570257,11487,11487,9460,*03ani*,BOS,RP,RP,Rodriguez,Joely,,,,Joely Rodriguez P | BOS,2107842
80,Manny Machado,592518,11493,11493,7891,*01svq*,SD,3B,3B,Machado,Manny,Machado,Manny,Manny Machado,Manny Machado 3B | SD,1765812
81,Bryce Harper,547180,11579,11579,7885,*01fh9*,PHI,1B,1B,Harper,Bryce,Harper,Bryce,Bryce Harper,Bryce Harper 1B | PHI,1765813
82,Yolmer Sanchez,570560,11602,11602,8846,*02i35*,LAA,2B,2B,Sanchez,Yolmer,Sánchez,Yolmer,Yolmer Sánchez,Yolmer Sanchez 2B | LAA,1956971
83,Willson Contreras,575929,11609,11609,9263,*03oh0*,BOS,1B,1B,Contreras,Willson,Contreras,Willson,Willson Contreras,Willson Contreras 1B | BOS,2171084
84,Brandon Drury,592273,11615,11615,8931,*02hlw*,KC,2B,2B,Drury,Brandon,Drury,Brandon,Brandon Drury,Brandon Drury 2B | KC,1957192
85,Jameson Taillon,592791,11674,11674,7886,*01srb*,CHC,SP,SP,Taillon,Jameson,Taillon,Jameson,Jameson Taillon,Jameson Taillon P | CHC,1765806
86,Elias Diaz,553869,11680,11680,9153,*03fhx*,KC,C,C,Diaz,Elias,Díaz,Elias,Elias Díaz,Elias Diaz C | KC,2122215
