upid,name,manager,contract,mlb_id,player_type,rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,sportAbbrev,atBats,doubles,triples,obp,ops,slg,rbi,stolenBases,caughtStealing,leftOnBase,totalBases,avg,position
6050,Karson Milbrandt,,,703596,pitcher,18,mia,21,146.0,703596,Karson Milbrandt,22.0,1.28,90.0,67,33,30.0,48,113,3,270.0,389.0,,3.0,0.0,0.0,0.0,3.0,5.0,ALL (3),,,,,,,,,,,,,
6066,Coleman Crow,,,689441,pitcher,25,mil,25,158.0,689441,Coleman Crow,12.0,1.04,50.0,40,18,18.0,12,64,3,150.0,200.0,,3.24,0.0,0.0,0.0,4.0,1.0,ALL (2),,,,,,,,,,,,,
6068,Jean Cabrera,,,691893,pitcher,11,phi,24,143.0,691893,Jean Cabrera,26.0,1.23,137.0,107,62,58.0,61,127,11,411.0,573.0,,3.81,0.0,0.0,0.0,6.0,9.0,AA,,,,,,,,,,,,,
6083,Luis Perales,,,691384,pitcher,5,was,22,120.0,691384,Luis Perales,3.0,1.29,2.1,0,2,2.0,3,4,0,7.0,9.0,,7.71,0.0,2.0,0.0,0.0,0.0,ALL (2),,,,,,,,,,,,,
6101,Alimber Santa,,,695001,pitcher,11,hou,22,117.0,695001,Alimber Santa,46.0,1.21,70.0,46,21,18.0,39,82,2,210.0,294.0,,2.31,2.0,6.0,2.0,3.0,2.0,ALL (2),,,,,,,,,,,,,
6120,Peter Heubeck,,,695646,pitcher,23,la,23,119.0,695646,Peter Heubeck,16.0,1.22,66.1,47,35,32.0,34,77,6,199.0,278.0,,4.34,0.0,0.0,0.0,2.0,5.0,AA,,,,,,,,,,,,,
6139,Brando Mayea,,,806963,batter,27,nyy,20,,806963,Brando Mayea,,,,22,19,,6,19,3,,,,,,,,,,ROK,74.0,4.0,1.0,0.373,0.873,0.5,9.0,4.0,3.0,27.0,37.0,0.297,OF
6149,Rayner Arias,,,806976,batter,8,sf,19,,806976,Rayner Arias,,,,38,28,,17,55,3,,,,,,,,,,ALL (2),178.0,6.0,2.0,0.304,0.624,0.32,20.0,5.0,2.0,87.0,57.0,0.213,OF
6227,Drew Gray,,,695645,pitcher,27,chc,22,112.0,695645,Drew Gray,3.0,1.61,9.1,7,6,5.0,8,14,1,28.0,43.0,,4.82,0.0,0.0,0.0,0.0,2.0,ALL (2),,,,,,,,,,,,,
6231,Tyler Schweitzer,,,805326,pitcher,30,cws,25,145.0,805326,Tyler Schweitzer,27.0,1.34,99.2,93,56,51.0,41,81,13,299.0,428.0,,4.61,0.0,1.0,0.0,8.0,2.0,ALL (2),,,,,,,,,,,,,
6293,C.J. Culpepper,,,690217,pitcher,17,min,24,142.0,690217,C.J. Culpepper,17.0,1.33,59.1,48,20,16.0,31,53,4,178.0,250.0,,2.43,0.0,0.0,0.0,2.0,2.0,ALL (3),,,,,,,,,,,,,
6356,Brendan Beck,,,694341,pitcher,11,nyy,27,147.0,694341,Brendan Beck,26.0,1.06,131.1,103,51,49.0,36,123,14,394.0,522.0,,3.36,0.0,0.0,0.0,13.0,5.0,ALL (2),,,,,,,,,,,,,
6380,Hyun-Seok Jang,,,815794,pitcher,21,la,21,119.0,815794,Hyun-Seok Jang,13.0,1.35,40.2,23,21,21.0,32,54,4,122.0,175.0,,4.65,0.0,0.0,0.0,0.0,2.0,A,,,,,,,,,,,,,
6381,Carlos Sanchez,,,800176,batter,30,cin,20,,800176,Carlos Sanchez,,,,115,62,,67,121,8,,,,,,,,,,ALL (2),415.0,20.0,6.0,0.379,0.791,0.412,62.0,20.0,14.0,188.0,171.0,0.277,3B
6479,Rolddy Munoz,,,691548,pitcher,17,atl,25,144.0,691548,Rolddy Munoz,44.0,1.37,63.2,49,26,24.0,38,64,7,191.0,277.0,,3.39,6.0,3.0,2.0,3.0,3.0,ALL (3),,,,,,,,,,,,,
6540,Jose Fleury,,,800067,pitcher,15,hou,23,117.0,800067,Jose Fleury,23.0,1.28,85.0,74,43,43.0,35,78,13,255.0,349.0,,4.55,1.0,0.0,3.0,5.0,2.0,ALL (2),,,,,,,,,,,,,
6542,Luinder Avila,,,679883,pitcher,14,kc,24,118.0,679883,Luinder Avila,30.0,1.24,73.1,59,36,35.0,32,87,7,220.0,310.0,,4.3,0.0,0.0,0.0,3.0,4.0,ALL (3),,,,,,,,,,,,,
6557,Jimmy Crooks,,,699625,batter,6,stl,24,,699625,Jimmy Crooks,,,,113,64,,36,131,15,,,,,,,,,,ALL (2),435.0,21.0,2.0,0.319,0.74,0.421,80.0,0.0,0.0,189.0,183.0,0.26,C
6564,Eduardo Quintero,not much of a donkey,Purchased Contract,808234,batter,3,la,20,,808234,Eduardo Quintero,,,,127,101,,88,123,19,,,,,,,,,,ALL (2),433.0,22.0,7.0,0.415,0.923,0.508,69.0,47.0,13.0,210.0,220.0,0.293,OF
