86,JR Ritchie,RHP,Atlanta Braves,AAA,2027,22,"6' 2"" / 185 lbs",R,R
87,Jarlin Susana,RHP,Washington Nationals,AA,2026,21,"6' 6"" / 235 lbs",R,R
88,Hagen Smith,LHP,Chicago White Sox,AA,2026,22,"6' 3"" / 235 lbs",L,L
89,Kyson Witherspoon,RHP,Boston Red Sox,ROK,2027,21,"6' 2"" / 206 lbs",R,R
90,Jurrangelo Cijntje,RHP/LHP,Seattle Mariners,AA,2027,22,"5' 11"" / 200 lbs",S,S
91,Tyler Bremner,RHP,Los Angeles Angels,ROK,2026,21,"6' 2"" / 190 lbs",R,R
92,Leonardo Bernal,C,St. Louis Cardinals,MLB,2026,21,"6' 0"" / 245 lbs",S,R
93,Brice Matthews,2B,Houston Astros,MLB,2025,23,"5' 11"" / 190 lbs",R,R
94,Cam Collier,1B/3B,Cincinnati Reds,AA,2026,21,"6' 1"" / 210 lbs",L,R
95,Kruz Schoolcraft,LHP,San Diego Padres,A,2029,18,"6' 8"" / 229 lbs",L,L
96,Ryan Johnson,RHP,Los Angeles Angels,MLB,2026,23,"6' 6"" / 215 lbs",S,R
97,Elmer Rodríguez,RHP,New York Yankees,MLB,2027,22,"6' 3"" / 160 lbs",L,R
98,Jackson Ferris,LHP,Los Angeles Dodgers,AA,2026,21,"6' 4"" / 195 lbs",L,L
99,Spencer Jones,OF,New York Yankees,MLB,2025,24,"6' 7"" / 240 lbs",L,L
100,Emil Morales,SS,Los Angeles Dodgers,A,2029,19,"6' 3"" / 191 lbs",R,R
