upid,name,fbp_team,manager,age,role,mlb_pa_approx,mlb_g_bat,mlb_ip,mlb_g_pit,fail_reasons
5433,Jacob Gonzalez,,,23,batter,2080.0,523.0,0,0,PA|GP
5431,Jacob Hurtubise,,,28,batter,463.0,102.0,0,0,AGE|PA|GP
7153,Jacob Lopez,,,27,pitcher,11.0,13.0,114.4,0,AGE|IP
5426,Jacob Young,,,26,batter,1490.0,115.0,0,0,AGE|PA|GP
3626,Jaden Hill,,,26,pitcher,27.0,19.0,39.3,0,AGE
5423,Jadher Areinamo,,,22,batter,1186.0,291.0,0,0,PA|GP
2593,Jake Eder,,,27,pitcher,42.0,20.0,20.1,0,AGE
5413,Jake Mangum,,,29,batter,1862.0,351.0,0,0,AGE|PA|GP
6678,Jake Miller,,,24,batter,240.0,86.0,0,0,GP
6349,James McArthur,,,29,pitcher,60.0,33.0,79.3,0,AGE
6575,Jansel Luis,,,20,batter,684.0,152.0,0,0,PA|GP
3682,Janson Junk,,,29,pitcher,35.0,26.0,125.1,0,AGE|IP
6644,Jared Sundstrom,,,24,batter,486.0,112.0,0,0,PA|GP
7188,Javier Mogollon,,,20,batter,368.0,93.0,0,0,PA|GP
7270,Jeral Perez,,,21,batter,415.0,100.0,0,0,PA|GP
5344,Jesus Rodriguez,,,23,batter,476.0,341.0,0,0,PA|GP
6690,Jhonny Severino,,,21,batter,408.0,104.0,0,0,PA|GP
6557,Jimmy Crooks,,,24,batter,465.0,114.0,0,0,PA|GP
4011,Joey Estes,,,24,pitcher,66.0,45.0,148.2,0,IP
5327,Joey Loperfido,,,26,batter,213.0,0,0,0,AGE
7131,Johanfran Garcia,,,21,batter,327.0,82.0,0,0,GP
7305,John Gil,,,19,batter,394.0,99.0,0,0,PA|GP
6641,John McMillon,,,27,pitcher,66.0,64.0,16.0,0,AGE
3943,Jonathan Cannon,,,25,pitcher,17.0,14.0,227.3,0,IP
7933,Jonathan Pintaro,,,28,batter,14.0,9.0,0,0,AGE
3719,Jordan Balazovic,,,27,pitcher,125.0,112.0,24.1,0,AGE
3515,Jordan Groshans,,,26,batter,993.0,254.0,0,0,AGE|PA|GP
6643,Jordan Leasure,,,27,pitcher,38.0,77.0,95.2,0,AGE
5298,Jose A. Ferrer,,,25,pitcher,42.0,68.0,142.1,0,IP
3739,Jose Butto,,,27,pitcher,101.0,80.0,163.0,0,AGE|IP
5282,Jose Fernandez,,,24,batter,264.0,120.0,0,0,GP
3241,Jose Hernandez,,,28,pitcher,135.0,177.0,55.3,0,AGE
6669,Jose Lopez,,,26,pitcher,189.0,946.0,2.0,0,AGE
3715,Jose Rodriguez,,,24,batter,359.0,355.0,0,0,PA|GP
5267,Jose Torres,,,32,batter,575.0,222.0,0,0,AGE|PA|GP
3918,Josh Kasevich,,,24,batter,761.0,181.0,0,0,PA|GP
2780,Joshua Baez,,,22,batter,343.0,91.0,0,0,GP
6259,José Soriano,,,27,pitcher,87.0,48.0,324.0,0,AGE|IP
6987,Juan De La Cruz,,,18,batter,277.0,116.0,0,0,GP
5242,Juan Sanchez,,,18,batter,693.0,299.0,0,0,PA|GP
5223,Justice Bigbie,,,26,batter,1352.0,335.0,0,0,AGE|PA|GP
3492,Justin Foscue,,,26,batter,1045.0,223.0,0,0,AGE|PA|GP
6989,Justin Jarvis,,,25,batter,189.0,101.0,0,0,GP
6625,Justin Slaten,,,28,pitcher,35.0,27.0,89.1,0,AGE
6544,Justin Wrobleski,,,25,pitcher,40.0,28.0,102.3,0,IP
3481,Kahlil Watson,,,22,batter,752.0,179.0,0,0,PA|GP
5211,Kala'i Rosario,,,23,batter,1134.0,278.0,0,0,PA|GP
6078,Keaton Winn,,,27,pitcher,49.0,49.0,107.2,0,AGE|IP
7752,Kelvin Hidalgo,,,20,batter,692.0,162.0,0,0,PA|GP
6659,Kendall George,,,21,batter,398.0,86.0,0,0,PA|GP
6025,Kenni Gomez,,,20,batter,362.0,87.0,0,0,PA|GP
3645,Korey Lee,,,27,batter,755.0,76.0,0,0,AGE|PA
3539,Kristian Robinson,,,25,batter,592.0,150.0,0,0,PA|GP
2848,Ky Bush,,,26,pitcher,56.0,35.0,17.2,0,AGE
3560,Kyle Stowers,,,28,batter,740.0,89.0,0,0,AGE|PA|GP
3674,Kyren Paris,,,24,batter,615.0,89.0,0,0,PA|GP
4567,Landen Roupp,,,27,pitcher,19.0,21.0,156.3,0,AGE|IP
3686,Landon Knack,,,28,pitcher,48.0,33.0,111.1,0,AGE|IP
6878,Lazaro Estrada,,,26,batter,62.0,66.0,0,0,AGE
3861,Leo Jimenez,,,24,batter,606.0,93.0,0,0,PA|GP
4560,Leonardo Bernal,,,21,batter,553.0,140.0,0,0,PA|GP
5160,Liam Hicks,,,26,batter,377.0,1.0,0,0,AGE|PA
4319,Livan Soto,,,25,batter,614.0,156.0,0,0,PA|GP
4661,Luis Baez,,,21,batter,1154.0,318.0,0,0,PA|GP
4569,Luis Lara,,,21,batter,987.0,250.0,0,0,PA|GP
7271,Luis Suisbel,,,22,batter,820.0,206.0,0,0,PA|GP
5128,Luis Vazquez,,,26,pitcher,465.0,121.0,4.1,0,AGE
6850,Luke Adams,,,21,batter,788.0,200.0,0,0,PA|GP
3834,Luken Baker,,,28,batter,1564.0,337.0,0,0,AGE|PA|GP
3783,Malcom Nuñez,,,24,batter,700.0,172.0,0,0,PA|GP
7172,Marcelo Perez,,,26,batter,101.0,120.0,0,0,AGE|GP
4237,Mason Black,,,26,pitcher,59.0,29.0,36.1,0,AGE
7247,Matt Waldron,,,29,pitcher,30.0,26.0,191.5,0,AGE|IP
6716,Max Anderson,,,23,batter,520.0,121.0,0,0,PA|GP
5079,Max Schuemann,,,28,batter,1430.0,197.0,0,0,AGE|PA|GP
3855,Maximo Acosta,,,23,batter,1328.0,321.0,0,0,PA|GP
6282,Michael Mercado,,,26,pitcher,100.0,93.0,16.0,0,AGE
4457,Michael Siani,,,26,batter,1453.0,273.0,0,0,AGE|PA|GP
6958,Michel Otanez,,,28,pitcher,101.0,76.0,39.1,0,AGE
7912,Miguel Mendez,,,23,batter,581.0,202.0,0,0,PA|GP
4561,Miguel Ullola,,,23,batter,208.0,82.0,0,0,GP
2999,Mike Burrows,,,26,pitcher,65.0,42.0,99.1,0,AGE
4307,Mike Vasil,,,25,pitcher,75.0,50.0,101.0,0,IP
6689,Mitch Jebb,,,23,batter,487.0,113.0,0,0,PA|GP
7164,Mitch Spence,,,27,pitcher,110.0,78.0,235.3,0,AGE|IP
3017,Mitchell Parker,,,26,pitcher,91.0,38.0,315.2,0,AGE|IP
3988,Moisés Gómez,,,27,batter,1071.0,338.0,0,0,AGE|PA|GP
7850,Nate Nankil,,,23,batter,342.0,83.0,0,0,GP
7762,Nathan Church,,,25,batter,1026.0,246.0,0,0,PA|GP
6511,Nathan Lukes,,,31,batter,2253.0,413.0,0,0,AGE|PA|GP
7272,Nehomar Ochoa Jr.,,,20,batter,381.0,103.0,0,0,PA|GP
4631,Nelson Rada,,,20,batter,1187.0,288.0,0,0,PA|GP
6092,Nic Enright,,,29,pitcher,48.0,98.0,31.0,0,AGE
4289,Nick Frasso,,,27,batter,56.0,52.0,0,0,AGE
3660,Nick Loftin,,,27,batter,1221.0,180.0,0,0,AGE|PA|GP
4686,Nick Morabito,,,22,batter,550.0,125.0,0,0,PA|GP
3788,Niko Kavadas,,,27,pitcher,104.0,0,1.2,0,AGE
5006,Noah Cameron,,,26,pitcher,20.0,19.0,138.1,0,AGE|IP
3722,Noah Miller,,,23,batter,1423.0,329.0,0,0,PA|GP
4520,Noah Song,,,28,batter,16.0,17.0,0,0,AGE
4997,Oliver Dunn,,,28,batter,638.0,119.0,0,0,AGE|PA|GP
7616,Omar Alfonzo,,,22,batter,349.0,86.0,0,0,GP
3806,Osleivis Basabe,,,25,batter,910.0,207.0,0,0,PA|GP
6519,Osvaldo Bido,,,30,pitcher,181.0,102.0,192.5,0,AGE|IP
3860,Otto Lopez,,,27,batter,1895.0,219.0,0,0,AGE|PA|GP
3524,Owen White,,,26,pitcher,19.0,12.0,14.0,0,AGE
7099,Patrick Reilly,,,24,batter,422.0,117.0,0,0,PA|GP
4969,Paul McIntosh,,,28,batter,841.0,207.0,0,0,AGE|PA|GP
3089,Pedro Avila,,,28,pitcher,111.0,55.0,58.1,0,AGE
3646,Pedro Leon,,,27,batter,1051.0,243.0,0,0,AGE|PA|GP
4963,Pedro Pages,,,27,batter,1620.0,247.0,0,0,AGE|PA|GP
3766,Pedro Ramirez,,,21,batter,1530.0,375.0,0,0,PA|GP
3097,Peyton Battenfield,,,28,pitcher,126.0,75.0,34.2,0,AGE
3465,Quinn Priester,,,25,pitcher,71.0,43.0,251.3,0,IP
7207,Ramon Ramirez,,,44,batter,754.0,267.0,0,0,AGE|PA|GP
4467,Randy De Jesus,,,20,batter,813.0,200.0,0,0,PA|GP
3750,Randy Vasquez,,,27,pitcher,341.0,112.0,268.4,0,AGE|IP
4193,Ray Kerr,,,31,pitcher,100.0,73.0,49.1,0,AGE
3608,Rece Hinds,,,25,batter,540.0,109.0,0,0,PA|GP
7136,Rhett Kouba,,,26,batter,95.0,79.0,0,0,AGE
4923,Ricardo Olivar,,,24,batter,931.0,221.0,0,0,PA|GP
6203,Riley Pint,,,28,pitcher,134.0,70.0,3.2,0,AGE
3144,Robert Gasser,,,26,pitcher,68.0,36.0,28.0,0,AGE
4606,Rosman Verdugo,,,20,batter,1011.0,246.0,0,0,PA|GP
3542,Ryan Bliss,,,26,batter,576.0,110.0,0,0,AGE|PA|GP
6709,Ryan Fernandez,,,27,pitcher,35.0,71.0,96.3,0,AGE
7700,Ryan Johnson,,,23,batter,403.0,105.0,0,0,PA|GP
3634,Ryan Kreidler,,,28,batter,752.0,174.0,0,0,AGE|PA|GP
6648,Ryan Lasko,,,23,batter,379.0,82.0,0,0,PA|GP
3638,Samad Taylor,,,27,batter,1327.0,316.0,0,0,AGE|PA|GP
3675,Samuel Zavala,,,21,batter,1122.0,267.0,0,0,PA|GP
7805,Samy Natera Jr.,,,26,batter,48.0,25.0,0,0,AGE
4318,Sean Bouchard,,,29,batter,1479.0,334.0,0,0,AGE|PA|GP
3210,Sean Burke,,,26,pitcher,70.0,33.0,153.1,0,AGE|IP
4094,Sean Hjelle,,,28,pitcher,52.0,36.0,124.2,0,AGE|IP
4664,Shane Drohan,,,27,batter,152.0,71.0,0,0,AGE
3657,Shay Whitcomb,,,27,batter,575.0,118.0,0,0,AGE|PA|GP
3696,Sixto Sánchez,,,27,pitcher,37.0,46.0,35.2,0,AGE
7166,Stephen Kolek,,,28,pitcher,170.0,133.0,125.4,0,AGE|IP
