rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,avg,plateAppearances,totalBases,games,position,sportAbbrev
299,fa,25,120,Jacob Young,696285,142,17,34,5,1,0,0.316,0.605,0.289,6,14,22,6,8,54,0.239,165,41,55,CF,MLB
300,fa,24,136,Ben Williamson,810938,193,27,49,8,0,1,0.291,0.602,0.311,13,9,52,2,1,79,0.254,204,60,56,3B,MLB
301,fa,25,134,Henry Davis,680779,101,12,19,3,0,4,0.261,0.598,0.337,11,9,27,0,0,56,0.188,114,34,34,C,MLB
302,fa,26,120,Keibert Ruiz,660688,247,19,61,12,0,2,0.278,0.598,0.32,24,8,24,0,2,97,0.247,259,79,66,C,MLB
303,fa,36,108,Travis d'Arnaud,518595,115,6,24,6,0,3,0.258,0.597,0.339,10,6,41,0,0,54,0.209,124,39,36,C,MLB
304,fa,25,113,Christian Encarnacion-Strand,687952,102,10,20,3,0,5,0.222,0.595,0.373,12,2,25,0,2,47,0.196,108,38,27,1B,MLB
305,fa,22,118,Jac Caglianone,695506,64,3,13,3,0,2,0.25,0.594,0.344,4,3,13,0,0,24,0.203,68,22,17,OF,MLB
306,fa,25,116,Trey Sweeney,700242,203,27,45,5,1,4,0.278,0.593,0.315,23,17,57,2,1,95,0.222,223,64,69,SS,MLB
307,fa,30,135,Tyler Wade,642180,100,12,22,1,2,0,0.322,0.592,0.27,9,14,30,1,2,45,0.22,119,27,51,CF,MLB
308,fa,28,158,Andruw Monasterio,655316,26,4,5,2,0,0,0.323,0.592,0.269,2,5,7,0,0,16,0.192,31,7,19,SS,MLB
309,fa,34,135,Elias Díaz,553869,160,20,33,5,0,4,0.278,0.591,0.313,11,15,46,0,0,87,0.206,177,50,61,C,MLB
310,fa,25,134,Alexander Canario,672744,140,15,30,3,1,3,0.276,0.59,0.314,10,12,49,2,1,74,0.214,152,44,46,LF,MLB
311,fa,25,141,Alan Roden,702176,92,12,19,4,1,1,0.283,0.587,0.304,8,7,22,0,0,44,0.207,106,28,40,LF,MLB
312,fa,30,113,Santiago Espinal,669289,221,19,54,10,0,0,0.295,0.585,0.29,12,16,25,2,1,105,0.244,239,64,69,3B,MLB
313,fa,29,145,Ryan Noda,676116,19,1,2,0,0,1,0.32,0.583,0.263,1,6,12,0,0,6,0.105,25,5,9,1B,MLB
314,fa,23,141,Jonatan Clase,682729,84,8,17,3,0,2,0.272,0.582,0.31,7,7,25,3,0,33,0.202,93,26,27,LF,MLB
315,fa,22,133,Max Muncy,691777,128,9,25,4,0,5,0.235,0.579,0.344,16,6,44,1,0,59,0.195,136,44,38,2B,MLB
316,fa,35,140,Kyle Higashioka,543309,120,10,27,6,0,1,0.279,0.579,0.3,16,7,22,0,0,51,0.225,129,36,38,C,MLB
317,fa,24,144,Michael Harris II,671739,294,17,65,11,2,6,0.245,0.578,0.333,43,10,63,11,3,144,0.221,313,98,77,CF,MLB
318,fa,24,143,Johan Rojas,679032,121,17,27,2,2,1,0.278,0.576,0.298,15,10,34,9,2,63,0.223,137,36,57,CF,MLB
319,fa,27,134,Jared Triolo,669707,120,11,21,6,0,3,0.275,0.575,0.3,9,16,22,5,1,58,0.175,140,36,48,SS,MLB
