rank,team,age,teamId,playerId,full_name,gamesPitched,whip,inningsPitched,hits,runs,earnedRuns,baseOnBalls,strikeOuts,homeRuns,outs,battersFaced,pitchesThrown,era,saves,holds,blownSaves,wins,losses,gamesStarted,completeGames,shutouts,yahoo_owner,yahoo_team,yahoo_id,yahoo_position
226,sea,28,136,668984,Casey Legumina,29,1.33,29.1,24,15,12,15,30,3,88,124,476,3.68,0,2,0,4,3,1,0,0,,,,
227,sea,32,136,622491,Luis Castillo,16,1.27,90.1,85,39,37,30,75,12,271,381,1515,3.69,0,0,0,4,5,16,0,0,B2J,B2J,10514,SP
228,det,27,116,669724,Brenan Hanifee,34,1.41,39.0,45,24,16,10,27,2,117,171,641,3.69,0,8,0,3,2,0,0,0,,,,
229,phi,33,143,621383,Tanner Banks,33,0.97,34.0,28,15,14,5,34,5,102,133,563,3.71,1,1,1,2,0,0,0,0,,,,
230,atl,29,144,656550,Grant Holmes,16,1.22,85.0,65,36,35,39,97,14,255,352,1398,3.71,0,0,0,4,6,15,0,0,JEP,JEP,10549,"SP,RP"
231,phi,33,143,621383,Tanner Banks,33,0.97,34.0,28,15,14,5,34,5,102,133,563,3.71,1,1,1,2,0,0,0,0,,,,
232,ari,27,109,669194,Ryne Nelson,17,1.05,60.2,43,26,25,21,52,6,182,246,993,3.71,1,1,1,4,2,7,0,0,,,,
233,stl,35,138,543243,Sonny Gray,15,1.19,84.2,84,37,35,17,90,10,254,347,1298,3.72,0,0,0,7,2,15,0,0,HAM,HAM,9459,SP
234,bal,29,110,656240,Scott Blewett,21,1.27,36.1,34,17,15,12,29,6,109,153,555,3.72,0,0,0,3,0,2,0,0,,,,
235,mia,30,146,669199,Lake Bachar,26,1.27,36.1,25,16,15,21,38,3,109,152,574,3.72,0,4,0,3,0,0,0,0,,,,
236,kc,31,118,670167,John Schreiber,35,1.34,29.0,29,14,12,10,32,5,87,125,489,3.72,0,10,1,2,2,0,0,0,,,,
237,sd,29,135,673513,Yuki Matsui,33,1.31,31.1,26,14,13,15,36,4,94,133,525,3.73,1,2,0,2,1,0,0,0,,,,
238,phi,33,143,621381,Matt Strahm,34,1.21,31.1,30,15,13,8,36,3,94,131,523,3.73,4,9,4,1,3,0,0,0,WIZ,WIZ,10355,RP
239,oak,32,133,656794,Sean Newcomb,19,1.66,55.1,70,30,23,22,52,4,166,253,997,3.74,0,0,0,1,4,5,0,0,,,,
240,tb,29,139,641793,Zack Littell,16,1.1,97.2,96,41,41,11,66,22,293,391,1383,3.78,0,0,0,6,7,16,1,0,,,,
241,kc,25,118,672582,Angel Zerpa,33,1.38,33.1,36,14,14,10,27,4,100,143,586,3.78,0,7,2,3,0,0,0,0,,,,
242,cws,28,145,663436,Davis Martin,14,1.23,80.2,80,38,34,19,53,12,242,334,1254,3.79,0,0,0,2,7,13,0,0,,,,
243,mia,27,146,665795,Edward Cabrera,12,1.39,59.0,56,27,25,26,63,7,177,254,997,3.81,0,0,0,2,2,12,0,0,WIZ,WIZ,10903,SP
244,fa,25,445,676282,Joey Cantillo,21,1.38,28.1,25,17,12,14,36,5,85,123,517,3.81,1,1,0,1,0,0,0,0,,,,
245,sd,33,135,593974,Wandy Peralta,35,1.47,35.1,35,17,15,17,31,2,106,159,571,3.82,0,3,1,3,1,0,0,0,,,,
246,mil,31,158,657649,Jared Koenig,37,1.33,33.0,32,14,14,12,32,3,99,141,533,3.82,0,13,1,3,1,0,0,0,WAR,WAR,12630,"SP,RP"
247,oak,27,133,687765,Mitch Spence,26,1.3,58.2,59,32,25,17,50,6,176,251,946,3.84,1,4,0,2,2,4,0,0,,,,
248,fa,24,102,687847,Marc Church,5,2.14,4.2,4,2,2,6,5,0,14,23,99,3.86,0,1,1,0,0,0,0,0,,,,
249,phi,26,143,676661,Max Lazar,9,1.21,14.0,11,6,6,6,10,2,42,56,219,3.86,1,0,0,0,0,0,0,0,,,,
250,atl,22,144,700363,AJ Smith-Shawver,9,1.42,44.1,42,20,19,21,42,4,133,192,711,3.86,0,0,0,3,2,9,0,0,,,,
251,bos,26,111,670174,Josh Winckowski,6,1.37,11.2,11,7,5,5,9,0,35,52,207,3.86,0,0,0,0,1,0,0,0,,,,
252,cle,26,114,676440,Tanner Bibee,15,1.23,88.2,83,41,38,26,75,15,266,369,1448,3.86,0,0,0,4,7,15,1,0,SAD,SAD,60137,SP
253,nyy,33,147,642232,Ryan Yarbrough,16,1.17,55.1,48,24,24,17,49,10,166,226,878,3.9,0,0,0,3,1,8,0,0,,,,
254,nyy,30,147,641656,Ian Hamilton,23,1.23,27.2,18,13,12,16,31,2,83,115,454,3.9,0,2,0,1,0,0,0,0,,,,
255,chc,36,112,519151,Ryan Pressly,32,1.6,30.0,36,16,13,12,20,2,90,134,490,3.9,5,4,1,2,2,0,0,0,,,,
