rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,avg,plateAppearances,totalBases,games
34,fa,30,,Reese McGuire,624512,39,7,10,1,0,4,0.293,0.883,0.59,6,2,9,0,0,17,0.256,42,23,12
35,fa,26,,Juan Soto,665742,279,55,71,14,0,17,0.391,0.878,0.487,43,64,55,8,1,131,0.254,348,136,78
36,fa,23,,Pete Crow-Armstrong,691718,300,58,82,19,3,21,0.31,0.877,0.567,61,14,78,23,4,133,0.273,322,170,77
37,fa,24,,Riley Greene,682985,296,42,86,20,0,17,0.345,0.875,0.53,59,24,99,1,1,135,0.291,322,157,77
38,fa,27,,Jeremy Peña,665161,304,47,99,16,1,11,0.38,0.873,0.493,40,19,54,15,2,90,0.326,335,150,78
39,fa,27,,Michael Busch,683737,236,32,64,13,3,12,0.365,0.869,0.504,44,30,61,3,0,95,0.271,271,119,72
40,fa,32,,Manny Machado,592518,297,52,90,20,0,13,0.366,0.868,0.502,47,31,54,8,2,132,0.303,331,149,78
41,fa,31,,Ryan O'Hearn,656811,223,29,68,9,0,10,0.387,0.867,0.48,29,26,42,3,1,105,0.305,256,107,65
42,fa,29,,Pavin Smith,656976,190,30,51,13,1,8,0.389,0.863,0.474,25,38,71,2,2,92,0.268,229,90,70
43,fa,23,,Elly De La Cruz,682829,302,62,82,15,2,18,0.348,0.861,0.513,55,34,87,21,6,134,0.272,339,155,79
44,fa,25,,Maikel Garcia,672580,279,34,87,19,3,8,0.372,0.859,0.487,36,27,43,17,8,108,0.312,311,136,76
45,fa,23,,Noelvi Marte,682622,68,10,20,4,1,3,0.342,0.857,0.515,17,5,12,4,1,31,0.294,73,35,19
46,fa,32,,Jose Trevino,624431,144,21,44,17,0,4,0.346,0.853,0.507,15,10,18,0,0,58,0.306,157,73,49
47,fa,28,,Romy Gonzalez,663853,95,15,29,10,1,2,0.356,0.851,0.495,16,7,24,3,2,42,0.305,104,47,31
48,fa,30,,Seiya Suzuki,673548,297,41,76,19,2,20,0.311,0.846,0.535,64,26,88,2,2,137,0.256,328,159,74
49,fa,26,,Tyler Freeman,671289,99,17,32,6,1,1,0.412,0.846,0.434,10,11,9,8,3,42,0.323,119,43,38
50,fa,26,,Nick Gonzales,693304,75,8,24,3,2,2,0.35,0.843,0.493,7,4,13,0,1,20,0.32,80,37,19
51,fa,24,,CJ Abrams,682928,261,52,74,16,2,11,0.356,0.843,0.487,26,20,51,16,2,74,0.284,293,127,66
52,fa,25,,Hunter Goodman,696100,282,38,80,17,3,14,0.328,0.842,0.514,48,16,81,1,2,107,0.284,302,145,74
53,fa,24,,Andy Pages,681624,281,39,82,12,1,16,0.33,0.842,0.512,52,13,56,6,3,115,0.292,303,144,75
54,fa,30,,Yoán Moncada,660162,97,16,23,6,1,6,0.336,0.841,0.505,19,13,32,0,0,45,0.237,113,49,30
55,fa,26,,Isaac Paredes,670623,273,40,70,10,1,16,0.361,0.837,0.476,45,41,55,0,1,111,0.256,321,130,74
56,fa,26,,Isaac Paredes,670623,273,40,70,10,1,16,0.361,0.837,0.476,45,41,55,0,1,111,0.256,321,130,74
57,fa,31,,Matt Olson,621566,285,45,72,19,0,15,0.359,0.836,0.477,49,47,76,0,0,136,0.253,337,136,77
58,fa,25,,Heliot Ramos,671218,291,48,83,14,1,13,0.361,0.835,0.474,43,28,77,5,4,114,0.285,332,138,76
59,fa,30,,Brent Rooker,667670,313,48,86,16,2,15,0.351,0.833,0.482,41,35,74,2,1,129,0.275,350,151,80
60,fa,21,,Junior Caminero,691406,283,46,75,16,0,19,0.31,0.833,0.523,50,19,55,5,1,123,0.265,306,148,73
61,fa,25,,Bobby Witt Jr.,677951,304,42,87,26,3,10,0.343,0.833,0.49,40,26,61,21,6,110,0.286,338,149,78
62,fa,26,,Casey Schmitt,669477,91,11,26,4,0,4,0.369,0.831,0.462,15,10,26,0,0,48,0.286,104,42,32
63,fa,22,,Jackson Merrill,701538,179,26,55,11,2,5,0.354,0.829,0.475,26,13,41,1,2,72,0.307,195,85,46
64,fa,34,,Mike Tauchman,643565,97,17,25,6,1,4,0.365,0.829,0.464,14,17,25,0,0,35,0.258,115,45,28
65,fa,30,,Carson Kelly,608348,158,28,40,5,1,9,0.36,0.828,0.468,26,26,31,0,0,66,0.253,186,74,49
66,fa,30,,Carson Kelly,608348,158,28,40,5,1,9,0.36,0.828,0.468,26,26,31,0,0,66,0.253,186,74,49
67,fa,29,,Dane Myers,667472,147,17,47,8,0,4,0.371,0.827,0.456,20,10,36,8,4,73,0.32,159,67,50
68,fa,26,,Vladimir Guerrero Jr.,665489,283,44,79,16,0,10,0.383,0.825,0.442,39,45,47,2,2,105,0.279,334,125,76
69,fa,28,,Josh Naylor,647304,287,41,87,18,1,9,0.358,0.825,0.467,51,25,41,10,2,117,0.303,317,134,75
70,fa,26,,Fernando Tatis Jr.,665487,292,57,78,11,1,15,0.356,0.822,0.466,37,37,59,15,2,87,0.267,334,136,76
71,fa,28,,Trent Grisham,663757,225,37,55,5,1,15,0.346,0.822,0.476,31,34,60,0,1,80,0.244,260,107,67
72,fa,24,,Zach Neto,687263,241,46,67,15,1,12,0.322,0.82,0.498,29,11,67,13,5,56,0.278,258,120,60
73,fa,26,,Alec Burleson,676475,228,25,70,11,0,9,0.344,0.818,0.474,32,14,32,3,0,103,0.307,245,108,68
74,fa,28,,Willi Castro,650489,193,34,54,11,1,7,0.362,0.818,0.456,17,20,53,3,1,72,0.28,218,88,56
75,fa,26,,Miguel Amaya,665804,93,14,26,9,0,4,0.313,0.818,0.505,25,4,22,0,0,26,0.28,100,47,27
76,fa,31,,Francisco Lindor,596019,308,49,84,14,0,16,0.344,0.818,0.474,42,28,62,13,2,111,0.273,349,146,77
77,fa,25,,Addison Barger,680718,178,25,47,16,0,8,0.328,0.817,0.489,24,16,45,1,0,79,0.264,195,87,54
78,fa,29,,TJ Friedl,670770,287,47,84,13,2,8,0.38,0.816,0.436,30,38,52,9,3,91,0.293,334,125,75
79,fa,34,,Max Muncy,571970,231,31,56,9,2,11,0.373,0.815,0.442,45,48,64,4,0,102,0.242,287,102,74
80,fa,32,,Bryce Harper,547180,213,32,55,13,0,9,0.368,0.814,0.446,34,35,47,8,0,85,0.258,253,95,57
81,fa,33,,Jeff McNeil,643446,148,15,36,5,3,8,0.333,0.813,0.48,23,19,17,1,0,73,0.243,171,71,47
82,fa,32,,Matt Chapman,656305,230,35,56,12,0,12,0.36,0.812,0.452,30,40,65,7,2,105,0.243,272,104,65
83,fa,28,,Brendan Donovan,680977,277,42,85,21,0,5,0.375,0.812,0.437,29,25,41,3,1,105,0.307,310,121,71
84,fa,30,,Ramón Laureano,657656,152,21,39,8,0,9,0.324,0.811,0.487,22,14,50,2,1,88,0.257,170,74,52
85,fa,30,,Ramón Laureano,657656,152,21,39,8,0,9,0.324,0.811,0.487,22,14,50,2,1,88,0.257,170,74,52
86,fa,31,,Sam Hilliard,656541,43,7,9,3,1,2,0.346,0.811,0.465,3,9,18,2,1,14,0.209,52,20,17
87,fa,27,,Kyle Stowers,669065,244,32,66,9,3,11,0.343,0.81,0.467,35,25,78,3,1,115,0.27,275,114,72
88,fa,27,,Kyle Stowers,669065,244,32,66,9,3,11,0.343,0.81,0.467,35,25,78,3,1,115,0.27,275,114,72
89,fa,26,,Ben Rice,700250,224,35,54,12,2,13,0.321,0.808,0.487,28,21,55,3,2,99,0.241,253,109,66
90,fa,31,,Trea Turner,607208,313,54,94,16,2,9,0.357,0.807,0.45,35,24,54,19,5,126,0.3,342,141,76
91,fa,28,,Gleyber Torres,650402,237,36,66,12,0,7,0.386,0.804,0.418,38,40,35,4,1,76,0.278,285,99,66
92,fa,28,,Abraham Toro,647351,127,17,37,9,0,5,0.321,0.801,0.48,13,4,22,0,0,40,0.291,134,61,36
93,fa,33,,Christian Yelich,592885,281,39,74,10,0,15,0.342,0.801,0.459,56,31,85,12,3,123,0.263,316,129,74
94,fa,30,,Dominic Smith,642086,47,4,14,3,0,1,0.375,0.801,0.426,8,7,11,1,0,21,0.298,56,20,16
95,fa,30,,Dominic Smith,642086,47,4,14,3,0,1,0.375,0.801,0.426,8,7,11,1,0,21,0.298,56,20,16
96,fa,32,,Javier Báez,595879,224,37,65,12,1,9,0.328,0.801,0.473,36,8,51,1,1,92,0.29,238,106,66
97,fa,35,,George Springer,543807,233,37,58,15,1,10,0.349,0.8,0.451,32,36,62,7,0,107,0.249,280,105,72
98,fa,26,,Carlos Narváez,665966,201,30,55,16,0,6,0.357,0.8,0.443,23,26,57,1,1,87,0.274,227,89,59
99,fa,25,,Spencer Torkelson,679529,264,43,59,17,0,16,0.33,0.8,0.47,49,38,76,1,0,119,0.223,312,124,74
100,fa,27,,Steven Kwan,680757,283,35,87,17,0,6,0.367,0.798,0.431,24,25,28,10,1,72,0.307,314,122,73
101,fa,22,,Evan Carter,694497,78,13,20,3,0,4,0.348,0.797,0.449,10,8,13,6,1,35,0.256,89,35,27
102,fa,24,,Jordan Beck,687597,244,36,64,14,4,10,0.322,0.797,0.475,26,19,75,9,4,73,0.262,267,116,67
103,fa,32,,Teoscar Hernández,606192,243,40,64,15,0,14,0.298,0.796,0.498,51,12,62,5,0,115,0.263,259,121,63
104,fa,27,,Mickey Moniak,666160,192,27,47,6,5,11,0.295,0.795,0.5,27,13,51,3,2,68,0.245,207,96,66
105,fa,26,,Wilyer Abreu,677800,221,29,56,9,0,13,0.324,0.795,0.471,36,24,58,4,2,108,0.253,247,104,68
106,fa,33,,Yandy Díaz,650490,294,35,83,15,1,12,0.331,0.794,0.463,44,20,44,3,0,128,0.282,320,136,72
107,fa,27,,Jazz Chisholm Jr.,665862,169,26,40,7,0,10,0.338,0.794,0.456,28,23,57,10,2,93,0.237,198,77,48
108,fa,27,,Jazz Chisholm Jr.,665862,169,26,40,7,0,10,0.338,0.794,0.456,28,23,57,10,2,93,0.237,198,77,48
109,fa,30,,J.P. Crawford,641487,265,34,76,10,0,6,0.401,0.793,0.392,30,50,56,5,1,86,0.287,319,104,74
110,fa,37,,Paul Goldschmidt,502671,280,48,82,15,1,8,0.352,0.791,0.439,32,24,56,5,0,111,0.293,308,123,77
111,fa,23,,Thomas Saggese,695336,48,4,15,4,0,1,0.333,0.791,0.458,7,2,12,0,0,22,0.313,51,22,16
112,fa,34,,Marcell Ozuna,542303,264,33,66,10,0,11,0.378,0.791,0.413,40,55,74,0,0,134,0.25,325,109,74
113,fa,27,,Griffin Conine,665052,64,10,18,7,0,1,0.352,0.79,0.438,7,7,19,0,1,29,0.281,71,28,20
114,fa,23,,Gunnar Henderson,683002,270,39,75,14,2,8,0.352,0.785,0.433,23,29,74,9,2,83,0.278,301,117,71
115,fa,29,,Gavin Sheets,657757,252,30,67,11,1,12,0.324,0.784,0.46,46,21,58,1,0,121,0.266,278,116,75
116,fa,32,,Brandon Nimmo,607043,279,37,71,14,0,15,0.318,0.784,0.466,41,25,58,6,1,138,0.254,308,130,75
117,fa,28,,Daulton Varsho,662139,92,14,19,5,1,8,0.24,0.783,0.543,20,5,31,1,0,54,0.207,100,50,24
118,fa,30,,Luke Raley,670042,77,12,19,3,0,3,0.379,0.782,0.403,13,10,22,2,1,41,0.247,95,31,27
119,fa,27,,Josh Smith,669701,232,34,66,11,1,7,0.35,0.781,0.431,21,23,45,8,3,83,0.284,258,100,66
120,fa,31,,Sam Haggerty,664059,97,16,27,3,3,2,0.346,0.779,0.433,9,10,18,5,2,36,0.278,108,42,34
121,fa,32,,Rhys Hoskins,656555,246,28,61,11,0,12,0.34,0.779,0.439,40,33,78,2,1,117,0.248,288,108,74
122,fa,26,,Alejandro Kirk,672386,232,19,71,8,0,7,0.347,0.778,0.431,34,15,26,0,0,106,0.306,251,100,63
123,fa,30,,Zach McKinstry,656716,232,36,63,10,7,4,0.351,0.778,0.427,21,29,62,8,1,103,0.272,266,99,70
124,fa,29,,Jake Meyers,676694,248,36,77,13,1,3,0.369,0.776,0.407,20,23,48,13,5,100,0.31,276,101,76
125,fa,23,,Tyler Soderstrom,691016,293,41,74,11,1,14,0.335,0.775,0.44,45,33,80,5,0,149,0.253,331,129,79
126,fa,30,,Brandon Lowe,664040,280,46,74,10,0,15,0.314,0.775,0.461,42,20,73,2,1,108,0.264,303,129,73
127,fa,29,,Cody Bellinger,641355,268,37,70,14,3,10,0.326,0.774,0.448,38,27,45,7,2,127,0.261,301,120,71
128,fa,33,,Nick Castellanos,592206,294,36,84,21,1,8,0.327,0.773,0.446,41,17,59,2,0,144,0.286,318,131,77
129,fa,24,,Lawrence Butler,671732,304,44,79,23,1,11,0.32,0.771,0.451,32,27,93,11,3,126,0.26,331,137,75
130,fa,23,,Nolan Schanuel,694384,277,39,77,15,1,6,0.366,0.77,0.404,30,34,41,3,1,98,0.278,320,112,76
131,fa,29,,Jake Bauers,641343,100,13,23,5,0,5,0.339,0.769,0.43,18,17,38,4,0,56,0.23,118,43,48
132,fa,26,,Jo Adell,666176,224,28,50,8,0,16,0.296,0.769,0.473,39,15,62,3,0,91,0.223,248,106,71
133,fa,33,,Mike Trout,545361,187,25,42,2,1,12,0.33,0.769,0.439,28,29,62,2,0,63,0.225,221,82,52
134,fa,25,,Geraldo Perdomo,672695,281,41,73,17,1,8,0.356,0.769,0.413,52,44,39,11,1,108,0.26,339,116,77
135,fa,27,,Isaac Collins,686555,146,22,38,7,1,4,0.363,0.767,0.404,19,22,40,8,3,65,0.26,172,59,60
136,fa,27,,Bo Bichette,666182,326,37,91,19,1,11,0.321,0.766,0.445,48,19,55,4,3,107,0.279,349,145,77
137,fa,30,,Alex Call,669743,150,23,41,7,2,2,0.378,0.765,0.387,17,21,25,1,0,63,0.273,185,58,54
138,fa,28,,Austin Riley,663586,316,44,87,13,1,12,0.327,0.764,0.437,40,22,96,2,1,134,0.275,342,138,77
139,fa,30,,Randy Arozarena,668227,275,35,66,19,1,8,0.358,0.762,0.404,31,38,90,14,0,133,0.24,327,111,75
140,fa,30,,Randy Arozarena,668227,275,35,66,19,1,8,0.358,0.762,0.404,31,38,90,14,0,133,0.24,327,111,75
141,fa,31,,Jake Cronenworth,630105,173,23,42,8,1,6,0.356,0.761,0.405,21,29,42,2,1,73,0.243,209,70,54
142,fa,29,,Ernie Clement,676391,244,32,75,16,0,4,0.337,0.759,0.422,18,11,29,2,3,109,0.307,261,103,75
143,fa,33,,Willson Contreras,575929,278,38,69,18,0,10,0.334,0.755,0.421,50,25,77,3,0,129,0.248,318,117,74
144,fa,25,,Colton Cowser,681297,76,8,16,3,0,6,0.268,0.755,0.487,11,3,27,1,0,28,0.211,82,37,21
145,fa,28,,Trevor Larnach,663616,271,40,70,11,1,11,0.326,0.754,0.428,36,25,66,2,2,115,0.258,302,116,73
146,fa,35,,Jose Altuve,514888,290,36,78,10,0,12,0.326,0.754,0.428,34,25,51,6,5,133,0.269,319,124,75
147,fa,29,,Amed Rosario,642708,119,16,33,7,0,4,0.315,0.752,0.437,16,5,16,1,0,39,0.277,127,52,39
148,fa,29,,Amed Rosario,642708,119,16,33,7,0,4,0.315,0.752,0.437,16,5,16,1,0,39,0.277,127,52,39
149,fa,29,,Amed Rosario,642708,119,16,33,7,0,4,0.315,0.752,0.437,16,5,16,1,0,39,0.277,127,52,39
150,fa,31,,Harrison Bader,664056,191,21,48,10,0,7,0.338,0.752,0.414,27,20,53,7,3,88,0.251,219,79,70
151,fa,30,,Sean Murphy,669221,153,15,34,5,0,9,0.32,0.751,0.431,22,18,53,0,0,72,0.222,178,66,47
152,fa,25,,Miguel Vargas,678246,280,39,67,20,2,10,0.318,0.75,0.432,34,29,53,3,0,119,0.239,314,121,76
153,fa,25,,Miguel Vargas,678246,280,39,67,20,2,10,0.318,0.75,0.432,34,29,53,3,0,119,0.239,314,121,76
154,fa,33,,Ildemaro Vargas,545121,28,5,8,2,0,1,0.286,0.75,0.464,4,0,7,0,0,14,0.286,28,13,9
155,fa,30,,Ian Happ,664023,281,49,69,14,0,11,0.336,0.749,0.413,38,39,73,4,1,100,0.246,324,116,69
156,fa,38,,Andrew McCutchen,457705,247,24,64,13,0,8,0.339,0.748,0.409,28,29,58,1,0,101,0.259,281,101,70
157,fa,28,,Ryan Jeffers,680777,210,24,52,14,0,6,0.347,0.747,0.4,27,28,47,0,0,91,0.248,242,84,62
158,fa,25,,Luis García Jr.,671277,252,36,69,19,0,7,0.314,0.747,0.433,36,15,37,7,4,96,0.274,274,109,70
159,fa,23,,Wyatt Langford,694671,253,32,60,10,0,13,0.315,0.746,0.431,31,28,73,11,3,102,0.237,286,109,66
160,fa,31,,Jorge Polanco,593871,218,26,55,9,0,11,0.3,0.745,0.445,36,14,32,3,2,80,0.252,238,97,64
161,fa,31,,Taylor Ward,621493,291,43,61,15,1,19,0.279,0.743,0.464,53,29,86,1,1,137,0.21,326,135,76
162,fa,34,,Mike Yastrzemski,573262,237,31,60,13,1,6,0.35,0.742,0.392,26,35,58,5,2,101,0.253,274,93,71
163,fa,25,,Sal Frelick,686217,276,36,81,9,3,4,0.351,0.742,0.391,30,21,40,14,2,123,0.293,308,108,76
164,fa,30,,Nathan Lukes,664770,131,19,35,3,0,4,0.358,0.74,0.382,22,17,20,1,2,71,0.267,155,50,52
165,fa,28,,Tyler Stephenson,663886,149,19,36,9,0,6,0.317,0.74,0.423,24,17,61,0,1,54,0.242,167,63,40
166,fa,30,,Andrew Benintendi,643217,184,23,44,9,2,8,0.299,0.739,0.44,29,15,35,0,0,73,0.239,205,81,51
167,fa,25,,Logan O'Hoppe,681351,227,25,53,3,0,17,0.268,0.739,0.471,37,10,80,0,1,95,0.233,239,107,64
168,fa,31,,Jesse Winker,608385,67,8,16,5,2,1,0.321,0.739,0.418,10,9,20,1,0,35,0.239,78,28,24
169,fa,31,,Jesse Winker,608385,67,8,16,5,2,1,0.321,0.739,0.418,10,9,20,1,0,35,0.239,78,28,24
170,fa,25,,Gabriel Moreno,672515,174,29,47,8,1,5,0.324,0.738,0.414,20,13,32,1,1,74,0.27,188,72,53
171,fa,30,,Ryan McMahon,641857,266,32,59,12,1,12,0.327,0.737,0.41,25,41,95,1,1,104,0.222,309,109,76
172,fa,26,,Oneil Cruz,665833,256,41,54,10,1,13,0.326,0.736,0.41,31,42,101,26,3,112,0.211,304,105,70
173,fa,30,,Cedric Mullins,656775,223,31,49,11,0,12,0.306,0.736,0.43,35,26,65,8,2,98,0.22,252,96,62
174,fa,27,,Vinnie Pasquantino,686469,296,31,79,7,1,11,0.327,0.736,0.409,41,23,52,1,0,146,0.267,324,121,77
175,fa,30,,Tommy Edman,669242,214,33,53,10,1,10,0.292,0.736,0.444,38,11,37,3,1,86,0.248,233,95,60
176,fa,27,,Gavin Lux,666158,232,24,61,14,1,4,0.352,0.736,0.384,34,32,62,1,0,101,0.263,264,89,71
177,fa,21,,Jackson Holliday,702616,275,32,73,12,2,9,0.313,0.735,0.422,32,15,69,8,6,86,0.265,294,116,71
178,fa,28,,Alec Bohm,664761,293,32,85,11,1,7,0.328,0.734,0.406,36,15,49,2,0,123,0.29,314,119,75
179,fa,27,,Jesús Sánchez,660821,198,23,49,8,2,7,0.32,0.734,0.414,28,21,50,8,1,91,0.247,222,82,56
180,fa,28,,Luis Urías,649966,198,22,50,7,0,7,0.339,0.733,0.394,17,24,30,2,0,77,0.253,230,78,63
181,fa,21,,Jackson Chourio,694192,335,50,86,22,3,12,0.285,0.733,0.448,46,13,72,15,5,138,0.257,351,150,78
182,fa,23,,Colt Keith,690993,202,32,49,12,1,6,0.332,0.733,0.401,24,28,47,0,0,89,0.243,232,81,69
183,fa,28,,Daniel Schneemann,682177,167,22,39,7,0,8,0.312,0.731,0.419,21,19,47,5,1,65,0.234,187,70,59
184,fa,26,,Dillon Dingler,693307,209,23,57,9,1,7,0.305,0.731,0.426,31,6,57,0,0,92,0.273,220,89,60
185,fa,30,,Miguel Andujar,609280,169,19,50,7,1,3,0.328,0.73,0.402,20,9,23,1,0,56,0.296,180,68,46
186,fa,27,,Shea Langeliers,669127,207,25,49,10,0,10,0.3,0.73,0.43,27,20,43,4,1,108,0.237,230,89,56
187,fa,24,,Kyle Manzardo,700932,221,23,48,11,2,11,0.296,0.73,0.434,31,24,63,1,0,111,0.217,250,96,66
188,fa,36,,Starling Marte,516782,138,19,35,6,0,4,0.346,0.73,0.384,18,12,27,4,2,62,0.254,160,53,51
189,fa,27,,Kerry Carpenter,681481,252,37,62,11,1,13,0.277,0.729,0.452,27,7,58,1,1,110,0.246,267,114,73
190,fa,32,,Mookie Betts,605141,279,50,71,9,1,9,0.338,0.729,0.391,38,35,31,6,0,108,0.254,317,109,72
191,fa,24,,Julio Rodríguez,677594,315,48,80,11,3,11,0.315,0.728,0.413,39,22,69,12,3,145,0.254,343,130,76
192,fa,29,,Thairo Estrada,642731,66,6,19,6,0,1,0.304,0.728,0.424,8,0,11,0,1,26,0.288,69,28,16
193,fa,29,,Kody Clemens,665019,116,16,23,5,1,7,0.288,0.728,0.44,17,12,30,0,1,61,0.198,133,51,50
194,fa,24,,Curtis Mead,678554,96,13,24,2,1,3,0.342,0.727,0.385,8,10,26,3,1,48,0.25,111,37,42
195,fa,27,,Matt Wallner,670242,128,15,26,7,2,6,0.297,0.727,0.43,10,14,43,0,0,38,0.203,145,55,38
196,fa,33,,Wilmer Flores,527038,266,31,67,7,0,11,0.324,0.726,0.402,54,24,54,1,0,120,0.252,296,107,75
197,fa,24,,Rece Hinds,677956,19,2,3,1,0,2,0.2,0.726,0.526,3,1,10,0,0,8,0.158,20,10,7
198,fa,31,,Lourdes Gurriel Jr.,666971,280,25,72,14,1,10,0.304,0.725,0.421,40,18,44,6,1,117,0.257,306,118,72
199,fa,26,,Jung Hoo Lee,808982,286,44,72,17,5,6,0.315,0.724,0.409,34,26,35,6,1,104,0.252,317,117,75
200,fa,24,,Anthony Volpe,683011,275,33,64,20,2,9,0.306,0.724,0.418,41,28,78,8,7,145,0.233,311,115,77
201,fa,26,,Jordan Westburg,676059,131,20,30,4,1,7,0.289,0.724,0.435,14,9,37,1,1,47,0.229,142,57,34
202,fa,32,,Austin Slater,596103,68,10,16,5,0,2,0.325,0.722,0.397,5,9,26,0,0,37,0.235,78,27,32
203,fa,32,,Austin Slater,596103,68,10,16,5,0,2,0.325,0.722,0.397,5,9,26,0,0,37,0.235,78,27,32
204,fa,32,,Austin Slater,596103,68,10,16,5,0,2,0.325,0.722,0.397,5,9,26,0,0,37,0.235,78,27,32
205,fa,24,,Ceddanne Rafaela,678882,254,41,65,13,2,8,0.304,0.721,0.417,30,14,58,11,1,106,0.256,276,106,75
206,fa,25,,Austin Wells,669224,218,26,48,13,1,11,0.28,0.72,0.44,44,16,61,3,1,106,0.22,246,96,66
207,fa,26,,Dylan Carlson,666185,100,10,26,4,0,4,0.299,0.719,0.42,12,6,28,2,2,36,0.26,107,42,37
208,fa,26,,Dylan Carlson,666185,100,10,26,4,0,4,0.299,0.719,0.42,12,6,28,2,2,36,0.26,107,42,37
209,fa,34,,Nolan Arenado,571448,279,37,70,11,1,10,0.313,0.718,0.405,39,23,32,1,0,140,0.251,307,113,73
