upid,name,manager,team,FBP_Team,player_type,contract_type,status,years_simple,position,mlb_primary_position,mlb_id,yahoo_id,debuted,age
3809,Lazaro Montes,Btwn2Jackies,SEA,B2J,Farm,Development Cont.,[7] P,P,OF,RF,703155,60368,False,21
3899,Jett Williams,Btwn2Jackies,NYM,B2J,Farm,Purchased Contract,[7] P,P,"2B,SS,OF",SS,702518,,False,22
3910,Spencer Jones,Btwn2Jackies,NYY,B2J,Farm,Purchased Contract,[7] P,P,CF,CF,682987,60294,False,24
4628,Luis Morales,Btwn2Jackies,ATH,B2J,Farm,Farm Contract,[7] P,P,SP,P,806960,63613,True,23
6145,Brailer Guerrero,Btwn2Jackies,TB,B2J,Farm,Farm Contract,[7] P,P,OF,OF,806967,63632,False,19
6566,Max Clark,Btwn2Jackies,DET,B2J,Farm,Purchased Contract,[7] P,P,CF,OF,703601,62974,False,21
6569,Tommy Troy,Btwn2Jackies,AZ,B2J,Farm,Farm Contract,[7] P,P,2B,SS,694371,62985,False,24
6579,Welbyn Francisca,Btwn2Jackies,CLE,B2J,Farm,Farm Contract,[7] P,P,SS,SS,806988,63553,False,19
6705,Mike Boeve,Btwn2Jackies,MIL,B2J,Farm,Farm Contract,[7] P,P,1B,3B,801670,62800,False,23
6723,Jonny Farmelo,Btwn2Jackies,SEA,B2J,Farm,Purchased Contract,[7] P,P,OF,OF,806071,63004,False,21
6988,Zebby Matthews,Btwn2Jackies,MIN,B2J,Farm,Purchased Contract,[7] P,P,SP,P,805673,63601,True,25
7470,Brody Hopkins,Btwn2Jackies,TB,B2J,Farm,Farm Contract,[7] P,P,SP,P,811315,63190,False,24
7578,Dante Nori,Btwn2Jackies,PHI,B2J,Farm,Farm Contract,[7] P,P,OF,OF,807276,64358,False,21
7602,Chase Burns,Rick Vaughn,CIN,RV,Farm,Purchased Contract,[7] P,P,"SP,RP",P,695505,64316,True,23
7609,Braylon Payne,Btwn2Jackies,MIL,B2J,Farm,Development Cont.,[7] P,P,OF,OF,815520,64362,False,19
7662,Ben Hess,Btwn2Jackies,NYY,B2J,Farm,Purchased Contract,[7] P,P,SP,P,696292,64351,False,23
7283,Dedniel Nunez,,,,Farm,,[7] P,P,SP,SP,,,False,
6842,Alejandro Rosario,,TEX,,Farm,Purchased Contract,[7] P,P,SP,SP,,,False,
7681,Bryce Rainer,Country Fried Lamb,DET,CFL,Farm,Blue Chip Contract,[7] P,BC,SS,SS,800614,64319,False,20
4612,Caden Dana,,LAA,,Farm,Purchased Contract,[7] P,P,SP,P,702674,60217,True,22
2236,Carson Williams,,TB,,Farm,Purchased Contract,[7] P,P,SS,SS,700246,12556,True,22
2237,Carter Jensen,Country Fried Lamb,KC,CFL,Farm,Purchased Contract,[7] P,PC,C,C,695600,12451,True,22
7112,Cooper Ingle,Country Fried Lamb,CLE,CFL,Farm,Development Contract,[7] P,DC,C,C,694876,62882,False,23
4675,Felnin Celesten,,SEA,,Farm,Purchased Contract,[7] P,P,SS,SS,806958,63629,False,20
6801,Gary Gill Hill,,TB,,Farm,Farm Contract,[7] P,P,SP,P,804541,65004,False,21
7163,Henry Lalane,,NYY,,Farm,Farm Contract,[7] P,P,SP,P,700649,63607,False,21
3782,Jaison Chourio,,CLE,,Farm,Purchased Contract,[7] P,P,CF,OF,702693,60043,False,20
7199,Josue Briceño,CFL,DET,CFL,Farm,Development Cont.,[9] P,P,"C,1B",C,800522,64172,False,21
3895,Justin Crawford,Country Fried Lamb,PHI,CFL,Farm,Purchased Contract,[7] P,PC,OF,CF,702222,60317,False,22
7256,Paulino Santana,,TEX,,Farm,Farm Contract,[7] P,P,OF,OF,815889,65007,False,19
6646,Sammy Stafura,,CIN,,Farm,Purchased Contract,[7] P,P,"2B,SS",SS,806230,,False,21
7595,Seaver King,Country Fried Lamb,WSH,CFL,Farm,Blue Chip Contract,[7] P,BC,SS,SS,814409,64322,False,22
7623,Slade Caldwell,Country Fried Lamb,AZ,CFL,Farm,Development Contract,[7] P,DC,CF,OF,815154,64328,False,19
7304,Didier Fuentes,,ATL,,Farm,Purchased Contract,[7] P,P,SP,P,800311,62487,True,20
7677,Travis Bazzana,Country Fried Lamb,CLE,CFL,Farm,Blue Chip Contract,[7] P,BC,2B,2B,683953,64311,False,23
3482,Brady House,Hammers,WSH,HAM,Farm,Purchased Contract,[7] P,PC,3B,3B,691781,12580,True,22
3494,Ricky Tiedemann,Hammers,TOR,HAM,Farm,Purchased Contract,[7] P,PC,SP,P,694357,12574,False,23
3575,Matthew Lugo,,LAA,,Farm,Purchased Contract,[7] P,P,CF,LF,683090,,True,24
3904,Drew Thorpe,,CWS,,Farm,Purchased Contract,[7] P,P,SP,P,689672,,True,25
3947,Hunter Barco,Hammers,PIT,HAM,Farm,Purchased Contract,[7] P,PC,"SP,RP",P,682995,60338,True,25
4218,Cristian Mena,,AZ,,Farm,Purchased Contract,[7] P,P,"SP,RP",P,691441,60158,True,23
4610,Angel Genao,Hammers,CLE,HAM,Farm,Purchased Contract,[7] P,PC,"2B,3B,SS",3B,694197,60143,False,21
6082,Logan Henderson,Hammers,MIL,HAM,Farm,Purchased Contract,[7] P,PC,SP,P,701656,60262,True,23
6570,Hurston Waldrep,Hammers,ATL,HAM,Farm,Purchased Contract,[7] P,PC,SP,P,694462,62958,True,23
6605,Gino Groover,Hammers,AZ,HAM,Farm,Purchased Contract,[7] P,PC,3B,,,,False,
6615,Lucas Braun,,ATL,,Farm,Farm Contract,[7] P,P,SP,P,814351,63195,False,24
6808,Tre' Morgan,Hammers,TB,HAM,Farm,Purchased Contract,[7] P,PC,"1B,OF",1B,691003,62919,False,23
6864,Jhostynxon Garcia,Hammers,BOS,HAM,Farm,Purchased Contract,[7] P,PC,CF,CF,691373,,True,23
7178,Jhancarlos Lara,Hammers,ATL,HAM,Farm,Purchased Contract,[7] P,PC,RHP,P,702910,64912,False,23
7338,Chen-Wei Lin,,STL,,Farm,Farm Contract,[7] P,P,SP,P,813820,63094,False,24
7571,Edward Florentino,Hammers,PIT,HAM,Farm,Blue Chip Contract,[7] P,BC,"1B,OF",OF,821273,64991,False,19
7604,Tyson Lewis,Hammers,CIN,HAM,Farm,Development Contract,[7] P,DC,SS,SS,815653,64352,False,20
7632,Jared Thomas,Hammers,COL,HAM,Farm,Purchased Contract,[7] P,PC,OF,CF,703606,64360,False,22
7690,Kaelen Culpepper,Hammers,MIN,HAM,Farm,Purchased Contract,[7] P,PC,SS,SS,701785,64340,False,23
7699,Christian Moore,not much of a donkey,LAA,SAD,Farm,Purchased Contract,[7] P,P,2B,2B,695681,64361,True,23
3483,Ronny Mauricio,Jepordizers!,NYM,JEP,Farm,Purchased Contract,[7] P,P,"2B,3B",3B,677595,11351,True,24
3561,Seth Johnson,Jepordizers!,PHI,JEP,Farm,Purchased Contract,[7] P,P,"SP,RP",P,686751,,True,27
3580,James Triantos,Jepordizers!,CHC,JEP,Farm,Purchased Contract,[7] P,P,"2B,CF",2B,701649,12385,False,23
3584,Owen Caissie,Jepordizers!,CHC,JEP,Farm,Purchased Contract,[7] P,P,CF,RF,683357,,True,23
3708,Jeferson Quero,Jepordizers!,MIL,JEP,Farm,Purchased Contract,[7] P,P,C,C,691620,12477,False,23
3900,Carson Whisenhunt,Jepordizers!,SF,JEP,Farm,Farm Contract,[7] P,P,SP,P,687931,60381,True,25
3906,Jacob Misiorowski,Jepordizers!,MIL,JEP,Farm,Purchased Contract,[7] P,P,SP,P,694819,60254,True,23
4549,Doug Nikhazy,Jepordizers!,CLE,JEP,Farm,Farm Contract,[7] P,P,RP,P,680951,12403,True,26
4726,Winston Santos,Jepordizers!,TEX,JEP,Farm,Farm Contract,[7] P,P,SP,P,692437,63638,False,23
6072,Emiliano Teodo,Jepordizers!,TEX,JEP,Farm,Farm Contract,[7] P,P,RP,P,693713,60433,False,24
6476,Ignacio Alvarez,Jepordizers!,ATL,JEP,Farm,Purchased Contract,[7] P,P,3B,SS,805373,62057,True,22
6581,Thomas White,Btwn2Jackies,MIA,B2J,Farm,Purchased Contract,[7] P,P,SP,P,806258,62986,False,21
6599,Bryce Eldridge,Jepordizers!,SF,JEP,Farm,Development Cont.,[7] P,P,1B,1B,805811,62957,True,21
6720,Luke Keaschall,Jepordizers!,MIN,JEP,Farm,Purchased Contract,[7] P,P,2B,2B,807712,63023,True,23
6874,Cory Lewis,Jepordizers!,MIN,JEP,Farm,Purchased Contract,[7] P,P,"SP,RP",P,675375,63598,False,25
7540,Roki Sasaki,Jepordizers!,LAD,JEP,Farm,Purchased Contract,[7] P,P,SP,P,808963,64803,True,24
7674,Hagen Smith,Jepordizers!,CWS,JEP,Farm,Development Cont.,[7] P,P,SP,P,696146,64315,False,22
3454,Zac Veen,La Flama Blanca,COL,LFB,Farm,Purchased Contract,[7] P,P,OF,LF,691728,12133,True,24
2450,Emmanuel Rodriguez,La Flama Blanca,MIN,LFB,Farm,Purchased Contract,[7] P,P,CF,CF,691181,12487,False,22
3875,Jarlin Susana,La Flama Blanca,WSH,LFB,Farm,Purchased Contract,[7] P,P,SP,P,703186,60455,False,21
3407,Andrew Salas,La Flama Blanca,MIA,LFB,Farm,Farm Contract,[7] P,P,"2B,SS,OF",SS,829035,66425,False,17
3499,Harry Ford,La Flama Blanca,SEA,LFB,Farm,Purchased Contract,[7] P,P,C,C,695670,,True,22
3607,Chase Petty,La Flama Blanca,CIN,LFB,Farm,Farm Contract,[7] P,P,SP,P,695534,12484,True,22
3746,Roderick Arias,La Flama Blanca,NYY,LFB,Farm,Development Cont.,[7] P,P,"3B,SS",SS,703149,60296,False,21
3883,Druw Jones,La Flama Blanca,AZ,LFB,Farm,Farm Contract,[7] P,P,CF,CF,702258,60055,False,22
3893,Elijah Green,La Flama Blanca,WSH,LFB,Farm,Purchased Contract,[7] P,P,CF,OF,701327,60538,False,22
3898,Drew Gilbert,La Flama Blanca,NYM,LFB,Farm,Purchased Contract,[7] P,P,CF,CF,687551,,True,25
3902,Jace Jung,La Flama Blanca,DET,LFB,Farm,Purchased Contract,[7] P,P,3B,3B,690291,60170,True,25
4570,Santiago Suarez,La Flama Blanca,TB,LFB,Farm,Farm Contract,[7] P,P,SP,P,800571,60488,False,21
6075,Edgardo Henriquez,La Flama Blanca,LAD,LFB,Farm,Purchased Contract,[7] P,P,RP,P,683618,60239,True,23
6140,Alfredo Duno,La Flama Blanca,CIN,LFB,Farm,Farm Contract,[7] P,P,C,C,806957,63545,False,20
6571,Noble Meyer,La Flama Blanca,MIA,LFB,Farm,Purchased Contract,[7] P,P,SP,P,800611,62980,False,21
6609,Brayden Taylor,La Flama Blanca,TB,LFB,Farm,Purchased Contract,[7] P,P,"2B,3B",3B,694966,62991,False,23
6616,Starlyn Caba,La Flama Blanca,MIA,LFB,Farm,Purchased Contract,[7] P,P,"2B,SS",SS,806965,,False,20
6617,Ralphy Velazquez,La Flama Blanca,CLE,LFB,Farm,Farm Contract,[7] P,P,1B,1B,806252,62952,False,20
6665,Aroon Escobar,La Flama Blanca,PHI,LFB,Farm,Purchased Contract,[7] P,P,"2B,3B",2B,800169,64987,False,21
6963,Luis Mey,,CIN,,Farm,Purchased Contract,[7] P,P,RP,P,682825,64812,True,24
7177,Jose Perdomo,La Flama Blanca,ATL,LFB,Farm,Development Cont.,[7] P,P,SS,SS,815899,64911,False,19
7347,Cam Caminiti,La Flama Blanca,ATL,LFB,Farm,Farm Contract,[7] P,P,SP,P,807284,64326,False,19
7612,Konnor Griffin,La Flama Blanca,PIT,LFB,Farm,Purchased Contract,[7] P,P,"SS,CF",SS,804606,64318,False,19
7746,Josuar Gonzalez,La Flama Blanca,SF,LFB,Farm,Purchased Contract,[7] P,P,SS,SS,829034,65056,False,18
7776,Shotaro Morii,La Flama Blanca,ATH,LFB,Farm,Purchased Contract,[7] P,P,SS,SS,829679,65050,False,19
7785,Elian Peña,La Flama Blanca,NYM,LFB,Farm,Farm Contract,[7] P,P,OF,OF,821262,65645,False,19
3444,Daniel Espino,,CLE,,Farm,Purchased Contract,[7] P,P,SP,P,682982,11753,False,25
3852,Roman Anthony,The Damn Yankees,BOS,DMN,Farm,Purchased Contract,[7] P,PC,CF,RF,701350,60108,True,21
3889,Dylan Lesko,,TB,,Farm,Purchased Contract,[7] P,P,RP,RP,,,False,
3894,Cade Horton,The Damn Yankees,CHC,DMN,Farm,Blue Chip Contract,[7] P,BC,SP,P,690990,60118,True,24
4678,Jairo Iriarte,,CWS,,Farm,Farm Contract,[7] P,P,RP,P,683568,,True,24
6500,Cris Rodriguez,The Damn Yankees,DET,DMN,Farm,Development Contract,[7] P,DC,OF,OF,829038,66410,False,18
6568,Walker Jenkins,The Damn Yankees,MIN,DMN,Farm,Blue Chip Contract,[7] P,BC,OF,CF,805805,62962,False,20
6602,Blake Mitchell,The Damn Yankees,KC,DMN,Farm,Development Contract,[7] P,DC,C,C,805810,62960,False,21
6618,Alex Clemmey,The Damn Yankees,WSH,DMN,Farm,Development Contract,[7] P,DC,SP,P,806046,,False,20
7122,Trevor Harrison,,TB,,Farm,Farm Contract,[7] P,P,SP,P,807314,63100,False,20
7565,Eduardo Beltre,,MIN,,Farm,Farm Contract,[7] P,P,CF,CF,,64973,False,
7619,JJ Wetherholt,The Damn Yankees,STL,DMN,Farm,Blue Chip Contract,[7] P,BC,"2B,3B,SS",SS,802139,64317,False,23
7631,Brody Brecht,The Damn Yankees,COL,DMN,Farm,Development Contract,[7] P,DC,SP,P,701679,64337,False,23
7669,Theodore Gillen,The Damn Yankees,TB,DMN,Farm,Blue Chip Contract,[7] P,BC,OF,,,,False,
7685,Jac Caglianone,The Damn Yankees,KC,DMN,Farm,Blue Chip Contract,[7] P,BC,"1B,OF",RF,695506,64312,True,23
7772,Roman Angelo,,AZ,,Farm,Farm Contract,[7] P,P,RHP,P,809109,,False,25
7359,Juan Mateo,,ATL,,Farm,Purchased Contract,[7] P,P,SS,P,462940,,False,43
3526,Kevin Alcántara,not much of a donkey,CHC,SAD,Farm,Purchased Contract,[7] P,P,OF,RF,682634,11802,True,23
3709,Tyler Black,not much of a donkey,MIL,SAD,Farm,Farm Contract,[7] P,P,1B,3B,672012,12478,True,25
3816,Michael Arroyo,The Damn Yankees,SEA,DMN,Farm,Development Contract,[7] P,DC,2B,SS,703197,60582,False,21
3832,Tink Hence,not much of a donkey,STL,SAD,Farm,Purchased Contract,[7] P,P,SP,P,693311,12177,False,23
3886,Termarr Johnson,not much of a donkey,PIT,SAD,Farm,Purchased Contract,[7] P,P,2B,2B,702261,60336,False,21
3935,Ryan Clifford,not much of a donkey,NYM,SAD,Farm,Farm Contract,[7] P,P,"1B,OF",1B,691775,60185,False,22
3951,Sal Stewart,not much of a donkey,CIN,SAD,Farm,Purchased Contract,[7] P,P,1B,3B,701398,60129,True,22
4593,Samuel Basallo,not much of a donkey,BAL,SAD,Farm,Purchased Contract,[7] P,P,C,C,694212,60092,True,21
6532,Hector Rodriguez,,CIN,,Farm,Farm Contract,[7] P,P,OF,LF,699302,63546,False,21
6593,Jefferson Rojas,not much of a donkey,CHC,SAD,Farm,Farm Contract,[7] P,P,SS,SS,800473,63538,False,20
6752,Grant Taylor,not much of a donkey,CWS,SAD,Farm,Purchased Contract,[7] P,P,RP,P,691799,63027,True,23
6805,George Klassen,not much of a donkey,LAA,SAD,Farm,Purchased Contract,[7] P,P,SP,P,691946,,False,24
6851,Jedixson Paez,not much of a donkey,BOS,SAD,Farm,Farm Contract,[7] P,P,SP,P,699151,,False,22
6973,Yophery Rodriguez,not much of a donkey,MIL,SAD,Farm,Farm Contract,[7] P,P,OF,CF,806983,,False,20
7098,Jaden Hamm,not much of a donkey,DET,SAD,Farm,Farm Contract,[7] P,P,SP,P,811290,63113,False,23
7657,Braden Montgomery,Hammers,CWS,HAM,Farm,Purchased Contract,[7] P,PC,OF,OF,695731,,False,22
3661,Josue De Paula,Rick Vaughn,LAD,RV,Farm,Purchased Contract,[7] P,P,OF,CF,800543,63576,False,20
3779,Bubba Chandler,Rick Vaughn,PIT,RV,Farm,Purchased Contract,[7] P,P,SP,P,696149,12516,True,23
3891,Cam Collier,Rick Vaughn,CIN,RV,Farm,Purchased Contract,[7] P,P,"1B,3B",3B,702253,60128,False,21
3905,Tyler Locklear,Rick Vaughn,SEA,RV,Farm,Purchased Contract,[7] P,P,1B,1B,682988,,True,25
3913,Parker Messick,Rick Vaughn,CLE,RV,Farm,Purchased Contract,[7] P,P,SP,P,800048,60042,True,25
3920,Owen Murphy,Rick Vaughn,ATL,RV,Farm,Farm Contract,[7] P,P,SP,P,702566,60070,False,22
3934,Noah Schultz,Rick Vaughn,CWS,RV,Farm,Purchased Contract,[7] P,P,SP,P,702273,60156,False,22
3940,Robby Snelling,Rick Vaughn,MIA,RV,Farm,Purchased Contract,[7] P,P,SP,P,702281,,False,22
4609,Yoniel Curet,Rick Vaughn,TB,RV,Farm,Farm Contract,[7] P,P,SP,P,692414,,False,23
6141,Sebastian Walcott,Rick Vaughn,TEX,RV,Farm,Purchased Contract,[7] P,P,"3B,SS",SS,806964,63633,False,19
6543,Alex Freeland,Rick Vaughn,LAD,RV,Farm,Purchased Contract,[7] P,P,"3B,SS",SS,690976,62354,True,24
6572,Chase Dollander,Rick Vaughn,COL,RV,Farm,Purchased Contract,[7] P,P,SP,P,801403,62975,True,24
6573,Kyle Teel,Rick Vaughn,CWS,RV,Farm,Purchased Contract,[7] P,P,C,C,691019,,True,23
6583,Cooper Pratt,Rick Vaughn,MIL,RV,Farm,Farm Contract,[7] P,P,SS,SS,806198,63000,False,21
6707,Kristian Campbell,Rick Vaughn,BOS,RV,Farm,Purchased Contract,[7] P,P,"2B,CF",2B,692225,63128,True,23
6785,Drue Hackenberg,Rick Vaughn,ATL,RV,Farm,Farm Contract,[7] P,P,SP,P,802357,62877,False,23
6834,Robert Calaz,Rick Vaughn,COL,RV,Farm,Development Cont.,[7] P,P,OF,OF,806978,63556,False,20
6888,Aidan Smith,Rick Vaughn,TB,RV,Farm,Farm Contract,[7] P,P,OF,OF,806223,,False,21
7213,Emil Morales,Rick Vaughn,LAD,RV,Farm,Development Cont.,[7] P,P,SS,SS,815896,64966,False,19
7591,Carson Benge,Rick Vaughn,NYM,RV,Farm,Purchased Contract,[7] P,P,OF,OF,701807,64329,False,23
7626,Demetrio Crisantes,Rick Vaughn,AZ,RV,Farm,Farm Contract,[7] P,P,"2B,3B",SS,702679,64923,False,21
7658,Payton Tolle,Rick Vaughn,BOS,RV,Farm,Purchased Contract,[7] P,P,"SP,RP",P,801139,64394,True,23
7692,Dasan Hill,Rick Vaughn,MIN,RV,Farm,Purchased Contract,[7] P,P,SP,P,815598,64354,False,20
7722,Quinn Matthews,Rick Vaughn,STL,RV,Farm,Purchased Contract,[7] P,P,LHP,P,687273,,False,25
3467,Orelvis Martinez,The Bluke Blokes,TOR,TBB,Farm,Farm Contract,[7] P,P,"2B,3B",2B,682619,,True,24
3486,Mick Abel,The Bluke Blokes,PHI,TBB,Farm,Purchased Contract,[7] P,P,SP,P,690953,,True,24
3540,Deyvison De Los Santos,The Bluke Blokes,MIA,TBB,Farm,Purchased Contract,[7] P,P,"1B,3B",3B,691277,,False,22
3901,Cole Young,The Bluke Blokes,SEA,TBB,Farm,Purchased Contract,[7] P,P,2B,2B,702284,60580,True,22
3924,Jackson Ferris,The Bluke Blokes,LAD,TBB,Farm,Farm Contract,[7] P,P,SP,P,701328,60119,False,22
3984,Xavier Isaac,The Bluke Blokes,TB,TBB,Farm,Development Cont.,[7] P,P,Util,1B,800060,60414,False,22
6137,Joendry Vargas,The Bluke Blokes,LAD,TBB,Farm,Farm Contract,[7] P,P,SS,SS,806959,63579,False,20
6577,Rhett Lowder,The Bluke Blokes,CIN,TBB,Farm,Purchased Contract,[7] P,P,SP,P,695076,62977,True,23
6604,George Lombard Jr.,The Bluke Blokes,NYY,TBB,Farm,Farm Contract,[7] P,P,"2B,3B,SS",SS,806146,62997,False,20
6702,Eric Bitonti,The Bluke Blokes,MIL,TBB,Farm,Purchased Contract,[7] P,P,1B,SS,800724,63011,False,20
6818,Jackson Baumeister,The Bluke Blokes,TB,TBB,Farm,Farm Contract,[7] P,P,SP,P,691765,,False,23
6853,Connelly Early,The Bluke Blokes,BOS,TBB,Farm,Purchased Contract,[7] P,P,SP,P,813349,63143,True,23
7048,C.J. Kayfus,The Bluke Blokes,CLE,TBB,Farm,Farm Contract,[7] P,P,"1B,OF",1B,692216,62758,True,24
7625,JD Dix,The Bluke Blokes,AZ,TBB,Farm,Farm Contract,[7] P,P,2B,SS,807267,64424,False,20
3484,Andrew Painter,Weekend Warriors,PHI,WAR,Farm,Blue Chip Contract,[7] P,BC,SP,P,691725,60592,False,22
6677,Andrew Walters,Weekend Warriors,CLE,WAR,Farm,Purchased Contract,[7] P,PC,RP,P,689958,62751,True,25
7726,Bo Davidson,Weekend Warriors,SF,WAR,Farm,Development Contract,[7] P,DC,OF,LF,815589,65000,False,23
7630,Charlie Condon,Weekend Warriors,COL,WAR,Farm,Blue Chip Contract,[7] P,BC,"1B,OF",OF,809707,64310,False,22
6443,Colby Thomas,,ATH,,Farm,Purchased Contract,[7] P,P,CF,RF,687515,60311,True,25
3522,Colson Montgomery,Weekend Warriors,CWS,WAR,Farm,Purchased Contract,[7] P,PC,"3B,SS",SS,695657,12413,True,23
3914,Dalton Rushing,,LAD,,Farm,Purchased Contract,[7] P,P,C,C,687221,60232,True,24
3720,Ethan Salas,,SD,,Farm,Purchased Contract,[7] P,P,C,C,806956,62225,False,19
7130,Franklin Arias,Weekend Warriors,BOS,WAR,Farm,Development Contract,[7] P,DC,SS,SS,808265,63537,False,20
7236,Gabriel Rincones,Weekend Warriors,PHI,WAR,Farm,Development Contract,[7] P,DC,OF,,,,False,
3944,Jacob Melton,Weekend Warriors,HOU,WAR,Farm,Purchased Contract,[7] P,PC,CF,LF,689200,,True,25
7607,Jesus Made,Weekend Warriors,MIL,WAR,Farm,Development Contract,[7] P,DC,"2B,3B,SS",SS,815908,64897,False,18
6910,Jonah Tong,Weekend Warriors,NYM,WAR,Farm,Purchased Contract,[7] P,PC,SP,P,804636,64978,True,22
4151,Juan Brito,,CLE,,Farm,Farm Contract,[7] P,P,"1B,2B",SS,682877,12734,False,24
7608,Luis Pena,Weekend Warriors,MIL,WAR,Farm,Development Contract,[7] P,DC,"2B,3B,SS",SS,821270,64898,False,19
3443,Marcelo Mayer,,BOS,,Farm,Purchased Contract,[7] P,P,"2B,3B",3B,691785,12375,True,23
3903,Chase DeLauter,Weekend Warriors,CLE,WAR,Farm,Purchased Contract,[7] P,PC,CF,RF,800050,60138,True,24
7579,Moisés Chace,Weekend Warriors,PHI,WAR,Farm,Development Contract,[7] P,DC,SP,P,691330,64773,False,22
7624,Ryan Waldschmidt,Weekend Warriors,AZ,WAR,Farm,Development Contract,[7] P,DC,CF,CF,814439,64479,False,23
7704,Tommy White,,ATH,,Farm,Purchased Contract,[7] P,P,3B,3B,695720,64325,False,22
6597,Travis Sykora,Weekend Warriors,WSH,WAR,Farm,Development Contract,[7] P,DC,SP,P,805809,62992,False,21
7670,Trey Yesavage,Weekend Warriors,TOR,WAR,Farm,Blue Chip Contract,[7] P,BC,SP,P,702056,64320,True,22
6704,Yoeilin Cespedes,,BOS,,Farm,Farm Contract,[7] P,P,"2B,SS",SS,806985,63532,False,20
7705,Gage Jump,Weekend Warriors,ATH,WAR,Farm,Development Contract,[7] P,DC,SP,P,695611,64374,False,22
2674,Joe Mack,,MIA,,Farm,Purchased Contract,[7] P,P,C,C,691788,12470,False,23
2979,Michael McGreevy,,STL,,Farm,Purchased Contract,[7] P,P,SP,P,700241,12549,True,25
3909,Connor Prielipp,,MIN,,Farm,Purchased Contract,[7] P,P,SP,P,687570,60267,False,25
3941,Thomas Harrington,,PIT,,Farm,Purchased Contract,[7] P,P,"SP,RP",P,802419,60337,True,24
4001,Max Muncy,,ATH,,Farm,Purchased Contract,[7] P,P,"2B,3B,SS",3B,691777,12501,True,23
6102,Tyler Mattison,,DET,,Farm,Farm Contract,[7] P,P,RHP,P,694331,,False,26
6263,Braxton Ashcraft,Whiz Kids,PIT,WIZ,Farm,Purchased Contract,[7] P,PC,"SP,RP",P,677952,11372,True,26
6578,Aidan Miller,Whiz Kids,PHI,WIZ,Farm,Blue Chip Contract,[7] P,BC,SS,SS,805795,62961,False,21
6580,Enrique Bradfield Jr.,The Damn Yankees,BAL,DMN,Farm,Purchased Contract,[7] P,PC,OF,CF,690961,62983,False,24
6590,Arjun Nimmala,Whiz Kids,TOR,WIZ,Farm,Blue Chip Contract,[7] P,BC,SS,SS,805796,62978,False,20
6591,Kevin McGonigle,Whiz Kids,DET,WIZ,Farm,Blue Chip Contract,[7] P,BC,SS,SS,805808,62955,False,21
6595,Colt Emerson,Country Fried Lamb,SEA,CFL,Farm,Blue Chip Contract,[7] P,BC,SS,SS,806068,62954,False,20
6596,Brice Matthews,,HOU,,Farm,Purchased Contract,[7] P,P,2B,SS,694728,62798,True,23
6696,Cole Carrigg,Whiz Kids,COL,WIZ,Farm,Development Contract,[7] P,DC,OF,1B,694249,63002,False,23
6759,Roc Riggio,,NYY,,Farm,Purchased Contract,[7] P,P,2B,2B,691792,,False,23
7146,Eduardo Tait,Whiz Kids,PHI,WIZ,Farm,Development Contract,[7] P,DC,C,C,806953,,False,19
7173,Leodalis De Vries,Whiz Kids,SD,WIZ,Farm,Blue Chip Contract,[7] P,BC,SS,SS,815888,,False,19
7319,Dorian Soto,,BOS,,Farm,Farm Contract,[7] P,P,SS,SS,829039,65501,False,17
7577,Griffin Burkholder,,PHI,,Farm,Farm Contract,[7] P,P,OF,OF,816120,64404,False,20
