Season,Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2008,"Tommy Layne","ARI","A",23,115,0.2826087,2.136842105,0.165266106,0.56862745,0.266106442,0.189473684,0.031578947,0.5148248,0.20485175,0.28032345,0.20231959,188,588,776,"7501"
2011,"Tommy Layne","ARI","AAA",26,121.2,0.31529412,2.133333333,0.229508196,0.524590163,0.245901639,0.2,0.133333333,0.44318182,0.21363636,0.34318182,0.06090864,840,1163,2003,"7501"
2008,"Luke French","DET","AA",22,170,0.31130435,1.376237623,0.163763066,0.484320557,0.351916376,0.123762376,0.07920792,0.47118644,0.23728814,0.29152542,0.1849866,257,862,1119,"7529"
2011,"Luke French","SEA","AAA",25,146.1,0.3254902,0.75,0.213333333,0.337142857,0.449523809,0.245762711,0.127118644,0.49444444,0.20925926,0.2962963,0.08102844,974,1593,2567,"7529"
2007,"Luke French","DET","A+",21,149,0.3246493,1.048309178,0.134693877,0.442857142,0.422448979,0.173913043,0.048309178,0.48431373,0.26470588,0.25098039,0.222333,205,798,1003,"7529"
2009,"Collin McHugh","NYM","A-",22,75,0.30150754,1.13253012,0.096938775,0.479591836,0.423469387,0.204819277,0.012048192,0.425,0.255,0.32,0.31716418,97,439,536,"7531"
2010,"Collin McHugh","NYM","A",23,132.1,0.33933162,2.112149532,0.137305699,0.585492227,0.277202072,0.102803738,0.06542056,0.42171717,0.24494949,0.33333333,0.30761421,189,796,985,"7531"
2010,"Lucas Harrell","CHW","AAA",25,137.2,0.29478458,1.866666666,0.225225225,0.504504504,0.27027027,0.216666666,0.091666666,0.41814159,0.25884956,0.32300885,0.06694915,931,1429,2360,"7541"
2007,"Tommy Hottovy","BOS","AA",25,120.1,0.3159204,0.74074074,0.19362745,0.343137254,0.463235294,0.185185185,0.089947089,0.46539379,0.26252983,0.27207637,0.17724289,242,672,914,"7542"
2007,"Jake McGee","TBD","A+",20,116.2,0.28363636,0.925619834,0.146520146,0.41025641,0.443223443,0.272727272,0.066115702,0.4471831,0.23943662,0.31338028,0.38478747,169,725,894,"7550"
2014,"Jarrett Grube","LAA","AAA",32,147.1,0.31011236,0.789215686,0.215053763,0.346236559,0.438709677,0.215686274,0.12745098,0.45435244,0.27388535,0.27176221,0.10927835,931,1494,2425,"7553"
2006,"Fernando Rodriguez Jr.","LAA","A+",22,163.1,0.33078394,,,,,,,,,,,,,,"7558"
