Unique Player ID Database,,next: 7940,,,,No Accents ,,Approved Dupe,Report an Issue
Alejandro Hidalgo,LAA,P,2094,,,Alejandro Hidalgo,,FALSE,
Alejandro Kirk,TOR,C,2045,,,Alejandro Kirk,,FALSE,
Alejandro Melean,TOR,P,6134,,,Alejandro Melean,,FALSE,
Alejandro Osuna,TEX,OF,5979,,,Alejandro Osuna,,FALSE,
Alejandro Pie,TB,3B,5978,,,Alejandro Pie,,FALSE,
Alejandro Rosario,TEX,SIRP,6842,,,Alejandro Rosario,,FALSE,
Alejo Lopez,CIN,2B,2046,,,Alejo Lopez,,FALSE,
Alek Jacob,SD,P,6094,,,Alek Jacob,,FALSE,
Alek Manoah,TOR,P,2047,,,Alek Manoah,,FALSE,
Alek Thomas,AZ,CF,4339,,,Alek Thomas,,FALSE,
Alen Hanson,SEA,"2B,SS",6402,,,Alen Hanson,,FALSE,
Alerick Soularie,MIN,"2B,OF",2048,,,Alerick Soularie,,FALSE,
Alessandro Ercolani,,,7354,,,Alessandro Ercolani,,FALSE,
Alex Binelas,BOS,3B,2049,,,Alex Binelas,,FALSE,
Alex Blandino,SF,"2B,3B",2050,,,Alex Blandino,,FALSE,
Alex Bregman,HOU,3B,1882,,,Alex Bregman,,FALSE,
Alex Call,WSH,OF,4323,,,Alex Call,,FALSE,
Alex Canario,CHC,OF,4598,,,Alex Canario,,FALSE,
Alex Claudio,MIL,P,2051,,,Alex Claudio,,FALSE,
Alex Clemmey,CLE,LHP,6618,Alexander Clemmey,,Alex Clemmey,,FALSE,
Alex Cobb,SF,P,4008,,,Alex Cobb,,FALSE,
Alex Colomé,COL,P,2052,Alex Colomé,,Alex Colome,,FALSE,
Alex De Goti,MIA,"2B,SS",2053,,,Alex De Goti,,FALSE,
Alex De Jesus,TOR,SS,3864,Alex de Jesus,,Alex De Jesus,,FALSE,
Alex Destino,CWS,1B,5977,,,Alex Destino,,FALSE,
Alex Dickerson,ATL,Util,2054,,,Alex Dickerson,,FALSE,
Alex Erro,BOS,"C,OF",5976,,,Alex Erro,,FALSE,
Alex Faedo,DET,P,4071,,,Alex Faedo,,FALSE,
Alex Freeland,LAD,,6543,,,Alex Freeland,,FALSE,
Alex Hall,MIL,C,5975,,,Alex Hall,,FALSE,
Alex Hoppe,BOS,SIRP,6861,,,Alex Hoppe,,FALSE,
Alex Iadisernia,,,7341,,,Alex Iadisernia,,FALSE,
Alex Isola,MIN,"C,1B",5974,,,Alex Isola,,FALSE,
Alex Jackson,MIL,C,2055,,,Alex Jackson,,FALSE,
Alex Kirilloff,MIN,"1B,OF",2056,,,Alex Kirilloff,,FALSE,
Alex Lange,DET,P,2057,,,Alex Lange,,FALSE,
Alex Mauricio,NYY,SIRP,6936,,,Alex Mauricio,,FALSE,
Alex McFarlane,PHI,RHP,4683,,,Alex McFarlane,,FALSE,
Alex McGarry,CIN,"1B,OF",5973,,,Alex McGarry,,FALSE,
Alex McKenna,HOU,CF,2058,,,Alex McKenna,,FALSE,
Alex McRae,CWS,P,2059,,,Alex McRae,,FALSE,
Alex Mooney,CLE,SS,6674,,,Alex Mooney,,FALSE,
Alex Pham,BAL,RHP,7128,,,Alex Pham,,FALSE,
Alex Ramirez,NYM,CF,3518,Alex Ramírez,,Alex Ramirez,,TRUE,
Alex Ramírez,STL,C,7572,,,Alex Ramirez,,TRUE,
Alex Reyes,LAD,P,2060,,,Alex Reyes,,FALSE,
Alex Santos,HOU,RHP,3652,,,Alex Santos,,FALSE,
Alex Santos II,HOU,"SP,RP",4502,Alex Santos ,,Alex Santos II,,FALSE,
Alex Sosa,,C,7031,,,Alex Sosa,,FALSE,
Alex Speas,CWS,RP,6212,,,Alex Speas,,FALSE,
Alex Verdugo,NYY,OF,1926,,,Alex Verdugo,,FALSE,
Alex Vesia,LAD,P,2061,,,Alex Vesia,,FALSE,
Alex Wells,BAL,P,4185,,,Alex Wells,,FALSE,
Alex Wood,OAK,"SP,RP",2062,,,Alex Wood,,FALSE,
Alex Young,CIN,P,2063,,,Alex Young,,FALSE,
Alex Zapete,BOS,"2B,3B",5972,,,Alex Zapete,,FALSE,
Alexander Alberto,TB,SP,6806,,,Alexander Alberto,,FALSE,
Alexander Albertus,LAD,,6582,,,Alexander Albertus,,FALSE,
Alexander Campos,OAK,SS,5971,,,Alexander Campos,,FALSE,
Alexander Canario,CHC,CF,4461,,,Alexander Canario,,FALSE,
Alexander Guillen,MIA,P,6321,,,Alexander Guillen,,FALSE,
Alexander Mojica,PIT,3B,4500,,,Alexander Mojica,,FALSE,
Alexander Ovalles,TB,"1B,OF",5970,,,Alexander Ovalles,,FALSE,
Alexander Pena,MIN,"1B,3B",5969,,,Alexander Pena,,FALSE,
Alexander Ramirez,LAA,OF,3683,,,Alexander Ramirez,,FALSE,
Alexander Suarez,SF,OF,5968,,,Alexander Suarez,,FALSE,
