player_id,name,team,position,Games Played,Games Played,Games Started,Batting Average,On-base Percentage,Slugging Percentage,At Bats,Runs,Hits,Singles,Doubles,Triples,Home Runs,Runs Batted In,Sacrifice Hits,Sacrifice Flys,Stolen Bases,Caught Stealing,Walks,Intentional Walks,Hit By Pitch,Strikeouts,Ground Into Double Play,Total Bases,Pitching Appearances,Games Started (Pitching),Earned Run Average,(Walks + Hits)/ Innings Pitched,Wins,Losses,Complete Games,Shutouts,Saves,Outs,Hits Allowed,Total Batters Faced,Runs Allowed,Earned Runs,Home Runs Allowed,Walks Issued,Intentional Walks Issued,Hit Batters,Strikeouts (Pitching),Wild Pitches,Balks,Stolen Bases Allowed,Batters Grounded Into Double Plays,Save Chances,Holds,Total Bases Allowed,Innings Pitched,Putouts,Assists,Errors,Fielding Percentage,On-base + Slugging Percentage,Strikeouts per Walk Ratio,Strikeouts per Nine Innings,Team,League,Hits / At Bats,Extra Base Hits,Net Stolen Bases,Stolen Base Percentage,Hitting for the Cycle,Plate Appearances,Grand Slam Home Runs,Pitch Count,Doubles Allowed,Triples Allowed,Relief Wins,Relief Losses,Pickoffs,Relief Appearances,On-base Percentage Against,Winning Percentage,Singles Allowed,Hits Per Nine Innings,Walks Per Nine Innings,No Hitters,Perfect Games,Save Percentage,Inherited Runners Scored,Quality Starts,Blown Saves,Net Saves,Outfield Assists,Double Plays Turned,Catcher Interference,Saves + Holds,Net Saves and Holds,Net Wins
12161,Austin Wells,New York Yankees,C,115,115,96,.229,.322,.395,354,42,81,49,18,1,13,55,1,7,1,2,47,0,5,87,9,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,892,33,11,.988,.717,,,-,-,,32,-1,.333,0,414,0,,,,,,,,,,,,,,,,,,,,0,5,0,,,
10678,Kyle Higashioka,Texas Rangers,C,84,84,77,.220,.263,.476,246,29,54,26,10,1,17,45,1,1,2,0,15,0,0,74,3,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,669,20,9,.987,.739,,,-,-,,28,2,1.000,0,263,1,,,,,,,,,,,,,,,,,,,,0,1,0,,,
11836,Iván Herrera,St. Louis Cardinals,C,72,72,61,.301,.372,.428,229,37,69,51,12,1,5,27,0,2,5,0,25,0,2,53,3,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,17,3,.994,.800,,,-,-,,18,5,1.000,0,259,0,,,,,,,,,,,,,,,,,,,,0,2,1,,,
9097,Gary Sánchez,Baltimore Orioles,C,89,89,68,.220,.307,.392,245,30,54,35,7,1,11,37,0,3,0,0,27,0,5,76,9,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,11,5,.978,.699,,,-,-,,19,0,-,0,280,0,,,,,,,,,,,,,,,,,,,,0,2,0,,,
10748,Victor Caratini,Houston Astros,C,87,87,66,.269,.336,.408,245,30,66,49,8,1,8,30,0,3,0,1,23,1,3,53,6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,557,27,3,.995,.744,,,-,-,,17,-1,.000,0,274,0,,,,,,,,,,,,,,,,,,,,0,10,0,,,
10900,Jake Rogers,Detroit Tigers,C,102,102,91,.197,.255,.352,310,43,61,34,16,1,10,36,0,2,1,0,22,1,3,99,6,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,744,29,3,.996,.607,,,-,-,,27,1,1.000,0,337,2,,,,,,,,,,,,,,,,,,,,0,4,0,,,
10318,Jacob Stallings,Colorado Rockies,C,82,82,68,.263,.357,.453,243,31,64,37,17,1,9,36,1,1,0,0,27,1,9,65,10,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,506,24,7,.987,.810,,,-,-,,27,0,-,0,281,0,,,,,,,,,,,,,,,,,,,,0,1,0,,,
11075,Miguel Amaya,Chicago Cubs,C,117,117,103,.232,.288,.357,328,32,76,53,13,2,8,47,5,3,0,0,23,0,4,62,5,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,856,31,6,.993,.645,,,-,-,,23,0,-,0,363,1,,,,,,,,,,,,,,,,,,,,0,3,0,,,
10395,Carson Kelly,Chicago Cubs,C,91,91,82,.238,.313,.374,281,32,67,48,9,1,9,37,0,1,0,0,25,0,6,55,6,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,642,33,3,.996,.687,,,-,-,,19,0,-,0,313,1,,,,,,,,,,,,,,,,,,,,0,8,0,,,
9818,James McCann,Baltimore Orioles,C,65,65,63,.234,.279,.388,214,27,50,33,9,0,8,31,0,4,1,0,13,1,2,56,3,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,28,8,.986,.667,,,-,-,,17,1,1.000,0,233,0,,,,,,,,,,,,,,,,,,,,0,2,0,,,
10959,Danny Jansen,Tampa Bay Rays,C,92,92,76,.205,.309,.349,278,35,57,35,13,0,9,24,0,3,0,0,40,0,3,61,4,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,619,18,6,.991,.658,,,-,-,,22,0,-,0,324,0,,,,,,,,,,,,,,,,,,,,0,1,0,,,
9098,Yasmani Grandal,Pittsburgh Pirates,C,72,72,62,.228,.304,.400,215,26,49,30,10,0,9,27,3,1,1,0,24,0,0,46,7,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,10,7,.988,.704,,,-,-,,19,1,1.000,0,243,0,,,,,,,,,,,,,,,,,,,,0,1,0,,,
11767,Korey Lee,Chicago White Sox,C,125,125,102,.210,.244,.347,377,36,79,52,14,1,12,37,0,0,6,3,17,0,0,122,12,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,33,4,.995,.591,,,-,-,,27,3,.667,0,394,0,,,,,,,,,,,,,,,,,,,,0,4,0,,,
9762,Christian Vázquez,Minnesota Twins,C,93,93,84,.221,.248,.327,294,29,65,48,10,0,7,27,5,4,3,1,11,0,1,65,11,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,773,29,4,.995,.575,,,-,-,,17,2,.750,0,315,0,,,,,,,,,,,,,,,,,,,,0,2,0,,,
12409,Hunter Goodman,Colorado Rockies,C,70,70,57,.190,.228,.417,211,24,40,18,9,0,13,36,0,2,1,1,8,0,3,64,5,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,8,2,.991,.645,,,-,-,,22,0,.500,0,224,1,,,,,,,,,,,,,,,,,,,,1,5,0,,,
9530,Christian Bethancourt,Toronto Blue Jays,C,62,62,42,.209,.241,.367,139,18,29,17,7,0,5,22,2,0,3,0,5,0,1,36,2,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,20,5,.986,.608,,,-,-,,12,3,1.000,0,147,0,,,,,,,,,,,,,,,,,,,,0,2,0,,,
11045,Jose Trevino,Cincinnati Reds,C,73,73,62,.215,.288,.354,209,26,45,32,5,0,8,28,1,2,1,0,20,0,2,41,12,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,22,6,.990,.642,,,-,-,,13,1,1.000,0,234,0,,,,,,,,,,,,,,,,,,,,0,2,0,,,
12271,Nick Fortes,Miami Marlins,C,110,110,99,.227,.259,.318,308,28,70,50,16,0,4,29,7,5,0,1,11,0,4,41,6,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,831,38,9,.990,.577,,,-,-,,20,-1,.000,0,335,0,,,,,,,,,,,,,,,,,,,,0,3,0,,,
61613,Pedro Pagés,St. Louis Cardinals,C,68,68,60,.238,.281,.376,202,19,48,36,3,2,7,27,1,2,2,0,13,0,0,58,7,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,28,3,.994,.657,,,-,-,,12,2,1.000,0,218,0,,,,,,,,,,,,,,,,,,,,0,1,0,,,
12005,Tyler Soderstrom,Athletics,C,61,61,53,.233,.315,.429,189,18,44,25,10,0,9,26,0,1,0,0,20,1,3,53,7,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,24,3,.993,.744,,,-,-,,19,0,-,0,213,0,,,,,,,,,,,,,,,,,,,,0,47,0,,,
12359,Adrian Del Castillo,Arizona Diamondbacks,C,25,25,19,.313,.368,.525,80,12,25,16,5,0,4,19,0,0,1,1,7,0,0,28,1,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,7,3,.983,.893,,,-,-,,9,0,.500,0,87,1,,,,,,,,,,,,,,,,,,,,0,1,0,,,
10533,Ben Rortvedt,Tampa Bay Rays,C,112,112,87,.228,.317,.303,290,27,66,50,13,0,3,31,0,0,1,0,34,0,4,88,6,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,755,26,9,.989,.620,,,-,-,,16,1,1.000,0,328,1,,,,,,,,,,,,,,,,,,,,0,2,0,,,
11077,Eric Haase,Milwaukee Brewers,C,30,30,17,.273,.304,.515,66,10,18,12,1,0,5,14,0,0,0,0,3,0,0,28,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,3,2,.987,.819,,,-,-,,6,0,-,0,69,0,,,,,,,,,,,,,,,,,,,,0,0,0,,,
10497,Matt Thaiss,Chicago White Sox,C,57,57,47,.204,.323,.299,157,14,32,21,9,0,2,16,0,1,3,0,28,0,0,58,2,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,10,4,.988,.622,,,-,-,,11,3,1.000,0,186,0,,,,,,,,,,,,,,,,,,,,0,1,0,,,
9615,Reese McGuire,Chicago Cubs,C,53,53,41,.209,.280,.295,139,10,29,23,3,0,3,18,1,3,3,0,13,0,2,39,4,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,10,6,.985,.575,,,-,-,,6,3,1.000,0,158,0,,,,,,,,,,,,,,,,,,,,0,2,0,,,
